instance,algorithm,n,m,total_weight,backward_weight,forward_weight,forward_ratio,runtime,status,error,source_type,external_version_or_commit
bad1,lrta_full,13,14,21821.0,94.0,21727.0,0.9956922230878511,0.20165085792541504,ok,,in-repo,
bad1,wmsf_seed,13,14,21821.0,94.0,21727.0,0.9956922230878511,0.0006811618804931641,ok,,in-repo,
bad1,ipsns_full,13,14,21821.0,94.0,21727.0,0.9956922230878511,0.003082752227783203,ok,,in-repo,
bad1,borda_net_score,13,14,21821.0,5880.0,15941.0,0.7305348059209019,0.0004189014434814453,ok,,in-repo,
bad1,weighted_eades,13,14,21821.0,186.0,21635.0,0.9914761010036204,0.00044155120849609375,ok,,in-repo,
bad1,random_multistart,13,14,21821.0,3070.0,18751.0,0.859309839145777,0.0006535053253173828,ok,,in-repo,
bad1,igraph_approx_eades,13,14,21821.0,186.0,21635.0,0.9914761010036204,0.16215181350708008,ok,,external-wrapper,python-igraph==1.0.0
bad1,drmaciver_fas,13,14,21821.0,94.0,21727.0,0.9956922230878511,0.0098876953125,ok,,external-wrapper,16ff24a92fde886e58819180a9fe686e60991c5c
complete3,lrta_full,3,6,6.0,3.0,3.0,0.5,0.00047278404235839844,ok,,in-repo,
complete3,wmsf_seed,3,6,6.0,3.0,3.0,0.5,0.0004878044128417969,ok,,in-repo,
complete3,ipsns_full,3,6,6.0,3.0,3.0,0.5,0.0019488334655761719,ok,,in-repo,
complete3,borda_net_score,3,6,6.0,3.0,3.0,0.5,0.0004305839538574219,ok,,in-repo,
complete3,weighted_eades,3,6,6.0,3.0,3.0,0.5,0.0004134178161621094,ok,,in-repo,
complete3,random_multistart,3,6,6.0,3.0,3.0,0.5,0.0005049705505371094,ok,,in-repo,
complete3,igraph_approx_eades,3,6,6.0,3.0,3.0,0.5,0.00045752525329589844,ok,,external-wrapper,python-igraph==1.0.0
complete3,drmaciver_fas,3,6,6.0,3.0,3.0,0.5,0.0018773078918457031,ok,,external-wrapper,16ff24a92fde886e58819180a9fe686e60991c5c
grid,lrta_full,1001,3000,5616947.0,32957.0,5583990.0,0.9941325777152606,0.13629794120788574,ok,,in-repo,
grid,wmsf_seed,1001,3000,5616947.0,33294.0,5583653.0,0.9940725807097699,0.025830507278442383,ok,,in-repo,
grid,ipsns_full,1001,3000,5616947.0,32954.0,5583993.0,0.9941331118132324,0.2160961627960205,ok,,in-repo,
grid,borda_net_score,1001,3000,5616947.0,1816413.0,3800534.0,0.6766191669602722,0.003800630569458008,ok,,in-repo,
grid,weighted_eades,1001,3000,5616947.0,540843.0,5076104.0,0.9037122835590223,0.03816509246826172,ok,,in-repo,
grid,random_multistart,1001,3000,5616947.0,2645056.0,2971891.0,0.5290936517649178,0.03238868713378906,ok,,in-repo,
grid,igraph_approx_eades,1001,3000,5616947.0,510323.0,5106624.0,0.9091458402580619,0.004547834396362305,ok,,external-wrapper,python-igraph==1.0.0
grid,drmaciver_fas,1001,3000,5616947.0,78734.0,5538213.0,0.985982776764673,6.362912654876709,ok,,external-wrapper,16ff24a92fde886e58819180a9fe686e60991c5c
r1000,lrta_full,999,3960,41238.0,4375.0,36863.0,0.8939085309665842,0.14964723587036133,ok,,in-repo,
r1000,wmsf_seed,999,3960,41238.0,4535.0,36703.0,0.8900286143847908,0.38034582138061523,ok,,in-repo,
r1000,ipsns_full,999,3960,41238.0,4055.0,37183.0,0.9016683641301712,14.574280023574829,ok,,in-repo,
r1000,borda_net_score,999,3960,41238.0,12394.0,28844.0,0.6994519617828217,0.004627704620361328,ok,,in-repo,
r1000,weighted_eades,999,3960,41238.0,7495.0,33743.0,0.8182501576216111,0.0323643684387207,ok,,in-repo,
r1000,random_multistart,999,3960,41238.0,19689.0,21549.0,0.5225520151316747,0.0393376350402832,ok,,in-repo,
r1000,igraph_approx_eades,999,3960,41238.0,7140.0,34098.0,0.8268587225374654,0.005471467971801758,ok,,external-wrapper,python-igraph==1.0.0
r1000,drmaciver_fas,999,3960,41238.0,5379.0,35859.0,0.86956205441583,6.207197427749634,ok,,external-wrapper,16ff24a92fde886e58819180a9fe686e60991c5c
