instance,algorithm,n,m,total_weight,backward_weight,forward_weight,forward_ratio,runtime,status,error,source_type,external_version_or_commit
bad1,lrta_full,13,14,21821.0,94.0,21727.0,0.9956922230878511,0.17893052101135254,ok,,in-repo,
bad1,wmsf_seed,13,14,21821.0,94.0,21727.0,0.9956922230878511,0.0007402896881103516,ok,,in-repo,
bad1,ipsns_full,13,14,21821.0,94.0,21727.0,0.9956922230878511,0.010178565979003906,ok,,in-repo,
bad1,borda_net_score,13,14,21821.0,5880.0,15941.0,0.7305348059209019,0.0004508495330810547,ok,,in-repo,
bad1,weighted_eades,13,14,21821.0,186.0,21635.0,0.9914761010036204,0.00046515464782714844,ok,,in-repo,
bad1,random_multistart,13,14,21821.0,3070.0,18751.0,0.859309839145777,0.0007131099700927734,ok,,in-repo,
bad1,igraph_approx_eades,13,14,21821.0,186.0,21635.0,0.9914761010036204,0.16517972946166992,ok,,external-wrapper,python-igraph==1.0.0
bad1,drmaciver_fas,13,14,21821.0,94.0,21727.0,0.9956922230878511,0.009672880172729492,ok,,external-wrapper,16ff24a92fde886e58819180a9fe686e60991c5c
bad2,lrta_full,11,12,13129.0,180.0,12949.0,0.9862898926041588,0.0005285739898681641,ok,,in-repo,
bad2,wmsf_seed,11,12,13129.0,180.0,12949.0,0.9862898926041588,0.0005581378936767578,ok,,in-repo,
bad2,ipsns_full,11,12,13129.0,180.0,12949.0,0.9862898926041588,0.009543418884277344,ok,,in-repo,
bad2,borda_net_score,11,12,13129.0,2607.0,10522.0,0.8014319445502323,0.0003993511199951172,ok,,in-repo,
bad2,weighted_eades,11,12,13129.0,1598.0,11531.0,0.8782847132302536,0.0004105567932128906,ok,,in-repo,
bad2,random_multistart,11,12,13129.0,2923.0,10206.0,0.7773630893441998,0.0006394386291503906,ok,,in-repo,
bad2,igraph_approx_eades,11,12,13129.0,1598.0,11531.0,0.8782847132302536,0.00043463706970214844,ok,,external-wrapper,python-igraph==1.0.0
bad2,drmaciver_fas,11,12,13129.0,180.0,12949.0,0.9862898926041588,0.005425214767456055,ok,,external-wrapper,16ff24a92fde886e58819180a9fe686e60991c5c
bad3,lrta_full,4,5,8287.0,1519.0,6768.0,0.8167008567636056,0.0011131763458251953,ok,,in-repo,
bad3,wmsf_seed,4,5,8287.0,1632.0,6655.0,0.803065041631471,0.0009760856628417969,ok,,in-repo,
bad3,ipsns_full,4,5,8287.0,1519.0,6768.0,0.8167008567636056,0.011715412139892578,ok,,in-repo,
bad3,borda_net_score,4,5,8287.0,2419.0,5868.0,0.7080970194280198,0.00064849853515625,ok,,in-repo,
bad3,weighted_eades,4,5,8287.0,2419.0,5868.0,0.7080970194280198,0.0005929470062255859,ok,,in-repo,
bad3,random_multistart,4,5,8287.0,1519.0,6768.0,0.8167008567636056,0.0006785392761230469,ok,,in-repo,
bad3,igraph_approx_eades,4,5,8287.0,2419.0,5868.0,0.7080970194280198,0.0005326271057128906,ok,,external-wrapper,python-igraph==1.0.0
bad3,drmaciver_fas,4,5,8287.0,1519.0,6768.0,0.8167008567636056,0.002304553985595703,ok,,external-wrapper,16ff24a92fde886e58819180a9fe686e60991c5c
bad4,lrta_full,10,11,22216.0,877.0,21339.0,0.9605239467050775,0.0011074542999267578,ok,,in-repo,
bad4,wmsf_seed,10,11,22216.0,877.0,21339.0,0.9605239467050775,0.0010676383972167969,ok,,in-repo,
bad4,ipsns_full,10,11,22216.0,877.0,21339.0,0.9605239467050775,0.015256166458129883,ok,,in-repo,
bad4,borda_net_score,10,11,22216.0,9822.0,12394.0,0.5578862081382787,0.0004296302795410156,ok,,in-repo,
bad4,weighted_eades,10,11,22216.0,2521.0,19695.0,0.886523226503421,0.0004334449768066406,ok,,in-repo,
bad4,random_multistart,10,11,22216.0,4638.0,17578.0,0.7912315448325531,0.0006220340728759766,ok,,in-repo,
bad4,igraph_approx_eades,10,11,22216.0,2521.0,19695.0,0.886523226503421,0.0004551410675048828,ok,,external-wrapper,python-igraph==1.0.0
bad4,drmaciver_fas,10,11,22216.0,877.0,21339.0,0.9605239467050775,0.0035648345947265625,ok,,external-wrapper,16ff24a92fde886e58819180a9fe686e60991c5c
