budget,n_instances,mean_bw,median_bw,mean_rt_s,median_rt_s,n_common_lrta,wins_vs_lrta,ties_vs_lrta,losses_vs_lrta,mean_gain_vs_lrta,median_gain_vs_lrta,mean_rel_excess_vs_400
10,20,84613.65,15483.0,0.275,0.0191,20,7,13,0,2751.75,0.0,0.0
25,20,84613.65,15483.0,0.4247,0.0202,20,7,13,0,2751.75,0.0,0.0
50,20,84613.65,15483.0,0.6976,0.0348,20,7,13,0,2751.75,0.0,0.0
100,20,84613.65,15483.0,1.2219,0.0617,20,7,13,0,2751.75,0.0,0.0
200,20,84613.65,15483.0,2.2856,0.12,20,7,13,0,2751.75,0.0,0.0
400,20,84613.65,15483.0,4.3984,0.2328,20,7,13,0,2751.75,0.0,0.0
