instance,budget,algorithm,n,m,total_weight,backward_weight,forward_weight,forward_ratio,runtime,status,error,rng_seed,wmsf_seed_mode
bad1,10,ipsns_budget_10,13,14,21821.0,94.0,21727.0,0.99569222,0.181148,ok,,1,full
bad1,25,ipsns_budget_25,13,14,21821.0,94.0,21727.0,0.99569222,0.001443,ok,,1,full
bad1,50,ipsns_budget_50,13,14,21821.0,94.0,21727.0,0.99569222,0.002382,ok,,1,full
bad1,100,ipsns_budget_100,13,14,21821.0,94.0,21727.0,0.99569222,0.0044,ok,,1,full
bad1,200,ipsns_budget_200,13,14,21821.0,94.0,21727.0,0.99569222,0.00537,ok,,1,full
bad1,400,ipsns_budget_400,13,14,21821.0,94.0,21727.0,0.99569222,0.010188,ok,,1,full
bad7,10,ipsns_budget_10,19,21,34295.0,1724.0,32571.0,0.94973028,0.001135,ok,,1,full
bad7,25,ipsns_budget_25,19,21,34295.0,1724.0,32571.0,0.94973028,0.001582,ok,,1,full
bad7,50,ipsns_budget_50,19,21,34295.0,1724.0,32571.0,0.94973028,0.00233,ok,,1,full
bad7,100,ipsns_budget_100,19,21,34295.0,1724.0,32571.0,0.94973028,0.003916,ok,,1,full
bad7,200,ipsns_budget_200,19,21,34295.0,1724.0,32571.0,0.94973028,0.007069,ok,,1,full
bad7,400,ipsns_budget_400,19,21,34295.0,1724.0,32571.0,0.94973028,0.013665,ok,,1,full
dsip,10,ipsns_budget_10,4079,6602,9943041.0,62462.0,9880579.0,0.99371802,0.56752,ok,,1,full
dsip,25,ipsns_budget_25,4079,6602,9943041.0,62462.0,9880579.0,0.99371802,0.891458,ok,,1,full
dsip,50,ipsns_budget_50,4079,6602,9943041.0,62462.0,9880579.0,0.99371802,1.375957,ok,,1,full
dsip,100,ipsns_budget_100,4079,6602,9943041.0,62462.0,9880579.0,0.99371802,2.401471,ok,,1,full
dsip,200,ipsns_budget_200,4079,6602,9943041.0,62462.0,9880579.0,0.99371802,4.383848,ok,,1,full
dsip,400,ipsns_budget_400,4079,6602,9943041.0,62462.0,9880579.0,0.99371802,8.520105,ok,,1,full
example.new,10,ipsns_budget_10,18,27,150341.0,18638.0,131703.0,0.8760285,0.001161,ok,,1,full
example.new,25,ipsns_budget_25,18,27,150341.0,18638.0,131703.0,0.8760285,0.001574,ok,,1,full
example.new,50,ipsns_budget_50,18,27,150341.0,18638.0,131703.0,0.8760285,0.002009,ok,,1,full
example.new,100,ipsns_budget_100,18,27,150341.0,18638.0,131703.0,0.8760285,0.003037,ok,,1,full
example.new,200,ipsns_budget_200,18,27,150341.0,18638.0,131703.0,0.8760285,0.005287,ok,,1,full
example.new,400,ipsns_budget_400,18,27,150341.0,18638.0,131703.0,0.8760285,0.009843,ok,,1,full
gr1-acyclic,10,ipsns_budget_10,10,15,92526.0,0.0,92526.0,1.0,0.000524,ok,,1,full
gr1-acyclic,25,ipsns_budget_25,10,15,92526.0,0.0,92526.0,1.0,0.000533,ok,,1,full
gr1-acyclic,50,ipsns_budget_50,10,15,92526.0,0.0,92526.0,1.0,0.000508,ok,,1,full
