algorithm,label,n_instances,n_incumbent_violations,improves_over_lrta,improves_over_wmsf,mean_rel_gain_pct,mean_runtime_s,note
IPSNS,IPSNS (ours),105,0,16,36,0.4196,20.213,0 incumbent violations; best-seed improvement on 36/105
LR-TA,LR-TA (ours),105,N/A,N/A,N/A,N/A,0.074,seed algorithm; used as incumbent lower bound
WMSF,"WMSF (ours, seed)",105,N/A,N/A,N/A,N/A,1.2376,seed algorithm (reimplementation of paper049 pipeline)
