run_key,instance,file_path,n,m,density,scc_count_nontrivial,largest_scc_fraction,nontrivial_scc_node_fraction,config_id,varied_param,iteration_budget,topk_scc,destroy_addback_frac,destroy_remove_frac,tol,rng_seed,wmsf_seed_mode,seed_ordering,scc_select_mode,initial_seed_method,initial_bw_best_seed,baseline_default_bw,final_bw,abs_improvement_vs_best_seed,normalized_improvement_vs_best_seed,abs_improvement_vs_baseline_default,normalized_improvement_vs_baseline_default,accepted_moves,attempted_moves,first_improvement_iteration,last_improvement_iteration,runtime_sec,quality_per_runtime,termination_reason,runtime_trace_available
bad__e8cd647fef67d292,bad,/home/soroush/benchmark_sources/graph-benchmarks/core/bad.d,4,4,0.33333333,1,0.5,0.5,addback_0.15,destroy_addback_frac,400,15,0.15,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.231834,0.0,not_logged_in_stage1_driver,False
bad__7bbe4b8b6edb32f3,bad,/home/soroush/benchmark_sources/graph-benchmarks/core/bad.d,4,4,0.33333333,1,0.5,0.5,addback_0.25,destroy_addback_frac,400,15,0.25,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.240791,0.0,not_logged_in_stage1_driver,False
bad__263401754b08992d,bad,/home/soroush/benchmark_sources/graph-benchmarks/core/bad.d,4,4,0.33333333,1,0.5,0.5,addback_0.35,destroy_addback_frac,400,15,0.35,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.234439,0.0,not_logged_in_stage1_driver,False
bad__a0d8b686d77fa459,bad,/home/soroush/benchmark_sources/graph-benchmarks/core/bad.d,4,4,0.33333333,1,0.5,0.5,baseline_default,baseline,400,15,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.240588,0.0,not_logged_in_stage1_driver,False
bad__99c65ab7123da181,bad,/home/soroush/benchmark_sources/graph-benchmarks/core/bad.d,4,4,0.33333333,1,0.5,0.5,iters_100,iters,100,15,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.001484,0.0,not_logged_in_stage1_driver,False
bad__a457a653f5c085c0,bad,/home/soroush/benchmark_sources/graph-benchmarks/core/bad.d,4,4,0.33333333,1,0.5,0.5,iters_200,iters,200,15,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.002653,0.0,not_logged_in_stage1_driver,False
bad__82f94b9202b84ae0,bad,/home/soroush/benchmark_sources/graph-benchmarks/core/bad.d,4,4,0.33333333,1,0.5,0.5,iters_600,iters,600,15,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.00573,0.0,not_logged_in_stage1_driver,False
bad__e305a5436cc65778,bad,/home/soroush/benchmark_sources/graph-benchmarks/core/bad.d,4,4,0.33333333,1,0.5,0.5,remove_0.01,destroy_remove_frac,400,15,0.3,0.01,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.004655,0.0,not_logged_in_stage1_driver,False
bad__0142eb7b7258c41b,bad,/home/soroush/benchmark_sources/graph-benchmarks/core/bad.d,4,4,0.33333333,1,0.5,0.5,remove_0.05,destroy_remove_frac,400,15,0.3,0.05,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.00457,0.0,not_logged_in_stage1_driver,False
bad__470229881be67777,bad,/home/soroush/benchmark_sources/graph-benchmarks/core/bad.d,4,4,0.33333333,1,0.5,0.5,rng_2,rng_seed,400,15,0.3,0.02,1e-12,2,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.004574,0.0,not_logged_in_stage1_driver,False
