run_key,instance,file_path,n,m,density,scc_count_nontrivial,largest_scc_fraction,nontrivial_scc_node_fraction,config_id,varied_param,iteration_budget,topk_scc,destroy_addback_frac,destroy_remove_frac,tol,rng_seed,wmsf_seed_mode,seed_ordering,scc_select_mode,initial_seed_method,initial_bw_best_seed,baseline_default_bw,final_bw,abs_improvement_vs_best_seed,normalized_improvement_vs_best_seed,abs_improvement_vs_baseline_default,normalized_improvement_vs_baseline_default,accepted_moves,attempted_moves,first_improvement_iteration,last_improvement_iteration,runtime_sec,quality_per_runtime,termination_reason,runtime_trace_available
bad__fdb08e17fb8184b5,bad,/home/soroush/benchmark_sources/graph-benchmarks/core/bad.d,4,4,0.33333333,1,0.5,0.5,rng_3,rng_seed,400,15,0.3,0.02,1e-12,3,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.003939,0.0,not_logged_in_stage1_driver,False
bad__9cab18c0503592ed,bad,/home/soroush/benchmark_sources/graph-benchmarks/core/bad.d,4,4,0.33333333,1,0.5,0.5,topk_10,topk_scc,400,10,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.003908,0.0,not_logged_in_stage1_driver,False
bad__bc1dfbdb08b6919a,bad,/home/soroush/benchmark_sources/graph-benchmarks/core/bad.d,4,4,0.33333333,1,0.5,0.5,topk_20,topk_scc,400,20,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.003839,0.0,not_logged_in_stage1_driver,False
bad__aa60131c20aead53,bad,/home/soroush/benchmark_sources/graph-benchmarks/core/bad.d,4,4,0.33333333,1,0.5,0.5,topk_5,topk_scc,400,5,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.003823,0.0,not_logged_in_stage1_driver,False
bad1__974632dd4ffc3738,bad1,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad1.d,13,14,0.08974359,1,1.0,1.0,addback_0.15,destroy_addback_frac,400,15,0.15,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",94.0,94.0,94.0,0.0,0.0,0.0,0.0,,,,,0.010609,0.0,not_logged_in_stage1_driver,False
bad1__9745a223e8c63679,bad1,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad1.d,13,14,0.08974359,1,1.0,1.0,addback_0.25,destroy_addback_frac,400,15,0.25,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",94.0,94.0,94.0,0.0,0.0,0.0,0.0,,,,,0.010692,0.0,not_logged_in_stage1_driver,False
bad1__9b6b7f8f055739d5,bad1,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad1.d,13,14,0.08974359,1,1.0,1.0,addback_0.35,destroy_addback_frac,400,15,0.35,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",94.0,94.0,94.0,0.0,0.0,0.0,0.0,,,,,0.010419,0.0,not_logged_in_stage1_driver,False
bad1__ac3123373ff4a451,bad1,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad1.d,13,14,0.08974359,1,1.0,1.0,baseline_default,baseline,400,15,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",94.0,94.0,94.0,0.0,0.0,0.0,0.0,,,,,0.219641,0.0,not_logged_in_stage1_driver,False
bad1__5007bafcc0fb46e3,bad1,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad1.d,13,14,0.08974359,1,1.0,1.0,iters_100,iters,100,15,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",94.0,94.0,94.0,0.0,0.0,0.0,0.0,,,,,0.00309,0.0,not_logged_in_stage1_driver,False
bad1__511bde36d6ce285d,bad1,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad1.d,13,14,0.08974359,1,1.0,1.0,iters_200,iters,200,15,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",94.0,94.0,94.0,0.0,0.0,0.0,0.0,,,,,0.005638,0.0,not_logged_in_stage1_driver,False
bad1__a29bc6822212a2b4,bad1,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad1.d,13,14,0.08974359,1,1.0,1.0,iters_600,iters,600,15,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",94.0,94.0,94.0,0.0,0.0,0.0,0.0,,,,,0.015086,0.0,not_logged_in_stage1_driver,False
bad1__e88445ed9f7db30f,bad1,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad1.d,13,14,0.08974359,1,1.0,1.0,remove_0.01,destroy_remove_frac,400,15,0.3,0.01,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",94.0,94.0,94.0,0.0,0.0,0.0,0.0,,,,,0.010441,0.0,not_logged_in_stage1_driver,False
bad1__72655026c681e457,bad1,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad1.d,13,14,0.08974359,1,1.0,1.0,remove_0.05,destroy_remove_frac,400,15,0.3,0.05,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",94.0,94.0,94.0,0.0,0.0,0.0,0.0,,,,,0.010352,0.0,not_logged_in_stage1_driver,False
bad1__ffb4086a25533ed1,bad1,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad1.d,13,14,0.08974359,1,1.0,1.0,rng_2,rng_seed,400,15,0.3,0.02,1e-12,2,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",94.0,94.0,94.0,0.0,0.0,0.0,0.0,,,,,0.010596,0.0,not_logged_in_stage1_driver,False
bad1__276a292ff3ce9ed6,bad1,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad1.d,13,14,0.08974359,1,1.0,1.0,rng_3,rng_seed,400,15,0.3,0.02,1e-12,3,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",94.0,94.0,94.0,0.0,0.0,0.0,0.0,,,,,0.010644,0.0,not_logged_in_stage1_driver,False
bad1__289b3813ad132dd8,bad1,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad1.d,13,14,0.08974359,1,1.0,1.0,topk_10,topk_scc,400,10,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",94.0,94.0,94.0,0.0,0.0,0.0,0.0,,,,,0.010641,0.0,not_logged_in_stage1_driver,False
bad1__f6696103fecf4173,bad1,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad1.d,13,14,0.08974359,1,1.0,1.0,topk_20,topk_scc,400,20,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",94.0,94.0,94.0,0.0,0.0,0.0,0.0,,,,,0.010442,0.0,not_logged_in_stage1_driver,False
bad1__60fd1ac2669ca42a,bad1,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad1.d,13,14,0.08974359,1,1.0,1.0,topk_5,topk_scc,400,5,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",94.0,94.0,94.0,0.0,0.0,0.0,0.0,,,,,0.01064,0.0,not_logged_in_stage1_driver,False
bad2__014fda6476ac98c0,bad2,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad2.d,11,12,0.10909091,1,1.0,1.0,addback_0.15,destroy_addback_frac,400,15,0.15,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",180.0,180.0,180.0,0.0,0.0,0.0,0.0,,,,,0.009312,0.0,not_logged_in_stage1_driver,False
bad2__78a5aae7a367e040,bad2,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad2.d,11,12,0.10909091,1,1.0,1.0,addback_0.25,destroy_addback_frac,400,15,0.25,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",180.0,180.0,180.0,0.0,0.0,0.0,0.0,,,,,0.009238,0.0,not_logged_in_stage1_driver,False
bad2__ca5c64dd3c172148,bad2,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad2.d,11,12,0.10909091,1,1.0,1.0,addback_0.35,destroy_addback_frac,400,15,0.35,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",180.0,180.0,180.0,0.0,0.0,0.0,0.0,,,,,0.009571,0.0,not_logged_in_stage1_driver,False
bad2__0c82e9a2702f0c3c,bad2,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad2.d,11,12,0.10909091,1,1.0,1.0,baseline_default,baseline,400,15,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",180.0,180.0,180.0,0.0,0.0,0.0,0.0,,,,,0.009782,0.0,not_logged_in_stage1_driver,False
bad2__08f33a60e517dae3,bad2,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad2.d,11,12,0.10909091,1,1.0,1.0,iters_100,iters,100,15,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",180.0,180.0,180.0,0.0,0.0,0.0,0.0,,,,,0.00293,0.0,not_logged_in_stage1_driver,False
bad2__6812417666c40ea9,bad2,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad2.d,11,12,0.10909091,1,1.0,1.0,iters_200,iters,200,15,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",180.0,180.0,180.0,0.0,0.0,0.0,0.0,,,,,0.005119,0.0,not_logged_in_stage1_driver,False
bad2__c6a8956a4e571e0e,bad2,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad2.d,11,12,0.10909091,1,1.0,1.0,iters_600,iters,600,15,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",180.0,180.0,180.0,0.0,0.0,0.0,0.0,,,,,0.013557,0.0,not_logged_in_stage1_driver,False
bad2__1eaa85087ae5b6a0,bad2,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad2.d,11,12,0.10909091,1,1.0,1.0,remove_0.01,destroy_remove_frac,400,15,0.3,0.01,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",180.0,180.0,180.0,0.0,0.0,0.0,0.0,,,,,0.009513,0.0,not_logged_in_stage1_driver,False
bad2__06f91e3c721d4b73,bad2,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad2.d,11,12,0.10909091,1,1.0,1.0,remove_0.05,destroy_remove_frac,400,15,0.3,0.05,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",180.0,180.0,180.0,0.0,0.0,0.0,0.0,,,,,0.009518,0.0,not_logged_in_stage1_driver,False
bad2__684692c6a1d42c04,bad2,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad2.d,11,12,0.10909091,1,1.0,1.0,rng_2,rng_seed,400,15,0.3,0.02,1e-12,2,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",180.0,180.0,180.0,0.0,0.0,0.0,0.0,,,,,0.009194,0.0,not_logged_in_stage1_driver,False
bad2__3ad6ecc6ee0eb7b8,bad2,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad2.d,11,12,0.10909091,1,1.0,1.0,rng_3,rng_seed,400,15,0.3,0.02,1e-12,3,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",180.0,180.0,180.0,0.0,0.0,0.0,0.0,,,,,0.009306,0.0,not_logged_in_stage1_driver,False
bad2__d3b4f8816e8e752a,bad2,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad2.d,11,12,0.10909091,1,1.0,1.0,topk_10,topk_scc,400,10,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",180.0,180.0,180.0,0.0,0.0,0.0,0.0,,,,,0.009289,0.0,not_logged_in_stage1_driver,False
bad2__7d3d4e8d5bbd6070,bad2,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad2.d,11,12,0.10909091,1,1.0,1.0,topk_20,topk_scc,400,20,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",180.0,180.0,180.0,0.0,0.0,0.0,0.0,,,,,0.009505,0.0,not_logged_in_stage1_driver,False
bad2__246553548bd26b60,bad2,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad2.d,11,12,0.10909091,1,1.0,1.0,topk_5,topk_scc,400,5,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",180.0,180.0,180.0,0.0,0.0,0.0,0.0,,,,,0.009429,0.0,not_logged_in_stage1_driver,False
bad3__82a72957496f4d49,bad3,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad3.d,4,5,0.41666667,1,1.0,1.0,addback_0.15,destroy_addback_frac,400,15,0.15,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1519.0,1519.0,1519.0,0.0,0.0,0.0,0.0,,,,,0.005244,0.0,not_logged_in_stage1_driver,False
bad3__d9b114edaaea4c61,bad3,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad3.d,4,5,0.41666667,1,1.0,1.0,addback_0.25,destroy_addback_frac,400,15,0.25,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1519.0,1519.0,1519.0,0.0,0.0,0.0,0.0,,,,,0.005355,0.0,not_logged_in_stage1_driver,False
bad3__4a057861a4283d17,bad3,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad3.d,4,5,0.41666667,1,1.0,1.0,addback_0.35,destroy_addback_frac,400,15,0.35,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1519.0,1519.0,1519.0,0.0,0.0,0.0,0.0,,,,,0.005369,0.0,not_logged_in_stage1_driver,False
bad3__e7e35ec1119ae7ce,bad3,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad3.d,4,5,0.41666667,1,1.0,1.0,baseline_default,baseline,400,15,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1519.0,1519.0,1519.0,0.0,0.0,0.0,0.0,,,,,0.005324,0.0,not_logged_in_stage1_driver,False
bad3__7560cda8492b24f2,bad3,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad3.d,4,5,0.41666667,1,1.0,1.0,iters_100,iters,100,15,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1519.0,1519.0,1519.0,0.0,0.0,0.0,0.0,,,,,0.001859,0.0,not_logged_in_stage1_driver,False
bad3__d31ef8da666b4f5f,bad3,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad3.d,4,5,0.41666667,1,1.0,1.0,iters_200,iters,200,15,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1519.0,1519.0,1519.0,0.0,0.0,0.0,0.0,,,,,0.003097,0.0,not_logged_in_stage1_driver,False
bad3__e761165cb9a8a3be,bad3,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad3.d,4,5,0.41666667,1,1.0,1.0,iters_600,iters,600,15,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1519.0,1519.0,1519.0,0.0,0.0,0.0,0.0,,,,,0.00778,0.0,not_logged_in_stage1_driver,False
bad3__67e52a82d719e2b4,bad3,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad3.d,4,5,0.41666667,1,1.0,1.0,remove_0.01,destroy_remove_frac,400,15,0.3,0.01,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1519.0,1519.0,1519.0,0.0,0.0,0.0,0.0,,,,,0.005457,0.0,not_logged_in_stage1_driver,False
bad3__6bbbd0081b401acc,bad3,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad3.d,4,5,0.41666667,1,1.0,1.0,remove_0.05,destroy_remove_frac,400,15,0.3,0.05,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1519.0,1519.0,1519.0,0.0,0.0,0.0,0.0,,,,,0.005487,0.0,not_logged_in_stage1_driver,False
bad3__52d42a03dcbbd9d5,bad3,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad3.d,4,5,0.41666667,1,1.0,1.0,rng_2,rng_seed,400,15,0.3,0.02,1e-12,2,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1519.0,1519.0,1519.0,0.0,0.0,0.0,0.0,,,,,0.005519,0.0,not_logged_in_stage1_driver,False
bad3__382a1b03db5aa6d3,bad3,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad3.d,4,5,0.41666667,1,1.0,1.0,rng_3,rng_seed,400,15,0.3,0.02,1e-12,3,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1519.0,1519.0,1519.0,0.0,0.0,0.0,0.0,,,,,0.005572,0.0,not_logged_in_stage1_driver,False
bad3__6d03a14bec18c0e0,bad3,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad3.d,4,5,0.41666667,1,1.0,1.0,topk_10,topk_scc,400,10,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1519.0,1519.0,1519.0,0.0,0.0,0.0,0.0,,,,,0.005416,0.0,not_logged_in_stage1_driver,False
bad3__2aba8bd3e694fc66,bad3,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad3.d,4,5,0.41666667,1,1.0,1.0,topk_20,topk_scc,400,20,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1519.0,1519.0,1519.0,0.0,0.0,0.0,0.0,,,,,0.00549,0.0,not_logged_in_stage1_driver,False
bad3__dbd93d5ba6e18e03,bad3,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad3.d,4,5,0.41666667,1,1.0,1.0,topk_5,topk_scc,400,5,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",1519.0,1519.0,1519.0,0.0,0.0,0.0,0.0,,,,,0.005485,0.0,not_logged_in_stage1_driver,False
bad4__fe049a055130cf46,bad4,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad4.d,10,11,0.12222222,1,1.0,1.0,addback_0.15,destroy_addback_frac,400,15,0.15,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",877.0,877.0,877.0,0.0,0.0,0.0,0.0,,,,,0.009581,0.0,not_logged_in_stage1_driver,False
bad4__dc5ccf4ab319c3e2,bad4,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad4.d,10,11,0.12222222,1,1.0,1.0,addback_0.25,destroy_addback_frac,400,15,0.25,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",877.0,877.0,877.0,0.0,0.0,0.0,0.0,,,,,0.009284,0.0,not_logged_in_stage1_driver,False
bad4__809f6bd0c4dda5e8,bad4,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad4.d,10,11,0.12222222,1,1.0,1.0,addback_0.35,destroy_addback_frac,400,15,0.35,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",877.0,877.0,877.0,0.0,0.0,0.0,0.0,,,,,0.009064,0.0,not_logged_in_stage1_driver,False
bad4__db5a8e0274250549,bad4,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad4.d,10,11,0.12222222,1,1.0,1.0,baseline_default,baseline,400,15,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",877.0,877.0,877.0,0.0,0.0,0.0,0.0,,,,,0.009213,0.0,not_logged_in_stage1_driver,False
bad4__6089edf0697526d1,bad4,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad4.d,10,11,0.12222222,1,1.0,1.0,iters_100,iters,100,15,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",877.0,877.0,877.0,0.0,0.0,0.0,0.0,,,,,0.002868,0.0,not_logged_in_stage1_driver,False
bad4__ea04818d1c0b814d,bad4,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad4.d,10,11,0.12222222,1,1.0,1.0,iters_200,iters,200,15,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",877.0,877.0,877.0,0.0,0.0,0.0,0.0,,,,,0.004732,0.0,not_logged_in_stage1_driver,False
bad4__6f63ebc6124fc647,bad4,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad4.d,10,11,0.12222222,1,1.0,1.0,iters_600,iters,600,15,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",877.0,877.0,877.0,0.0,0.0,0.0,0.0,,,,,0.013277,0.0,not_logged_in_stage1_driver,False
bad4__bc7540537d31e1c3,bad4,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad4.d,10,11,0.12222222,1,1.0,1.0,remove_0.01,destroy_remove_frac,400,15,0.3,0.01,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",877.0,877.0,877.0,0.0,0.0,0.0,0.0,,,,,0.009015,0.0,not_logged_in_stage1_driver,False
bad4__b3b8dd6088325122,bad4,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad4.d,10,11,0.12222222,1,1.0,1.0,remove_0.05,destroy_remove_frac,400,15,0.3,0.05,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",877.0,877.0,877.0,0.0,0.0,0.0,0.0,,,,,0.009038,0.0,not_logged_in_stage1_driver,False
bad4__57899054b44d646c,bad4,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad4.d,10,11,0.12222222,1,1.0,1.0,rng_2,rng_seed,400,15,0.3,0.02,1e-12,2,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",877.0,877.0,877.0,0.0,0.0,0.0,0.0,,,,,0.008853,0.0,not_logged_in_stage1_driver,False
bad4__00170abee8d1a625,bad4,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad4.d,10,11,0.12222222,1,1.0,1.0,rng_3,rng_seed,400,15,0.3,0.02,1e-12,3,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",877.0,877.0,877.0,0.0,0.0,0.0,0.0,,,,,0.00889,0.0,not_logged_in_stage1_driver,False
bad4__e70df99d8320d5ed,bad4,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad4.d,10,11,0.12222222,1,1.0,1.0,topk_10,topk_scc,400,10,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",877.0,877.0,877.0,0.0,0.0,0.0,0.0,,,,,0.008786,0.0,not_logged_in_stage1_driver,False
bad4__4bf13c06ffed6501,bad4,/home/soroush/benchmark_sources/graph-benchmarks/core-bad/bad4.d,10,11,0.12222222,1,1.0,1.0,topk_20,topk_scc,400,20,0.3,0.02,1e-12,1,full,L2,weighted,"best(LR-TA,WMSF)_no_LNS",877.0,877.0,877.0,0.0,0.0,0.0,0.0,,,,,0.008716,0.0,not_logged_in_stage1_driver,False
