instance,family,n,borda_net_score,drmaciver_fas,igraph_approx_eades,ipsns_full,lrta_full,random_multistart,weighted_eades,wmsf_seed
N-sgb75_01,SGB,75,2001124.0,1051445.0,1210343.0,1057054.0,1057054.0,1487353.0,1228495.0,1057054.0
N-sgb75_02,SGB,75,1829377.0,966587.0,1139162.0,972272.0,978078.0,1517644.0,1154933.0,978078.0
N-sgb75_03,SGB,75,1952892.0,1055414.0,1179297.0,1058817.0,1058817.0,1651310.0,1226143.0,1061254.0
N-sgb75_04,SGB,75,1945945.0,1044359.0,1168367.0,1050952.0,1050952.0,1584740.0,1217290.0,1050952.0
N-sgb75_05,SGB,75,2018839.0,1032782.0,1189084.0,1062565.0,1062565.0,1586160.0,1216787.0,1062565.0
N-sgb75_06,SGB,75,2005453.0,1033836.0,1200793.0,1044168.0,1044168.0,1585168.0,1214804.0,1044168.0
N-sgb75_07,SGB,75,2008407.0,1042466.0,1198653.0,1058205.0,1058205.0,1611851.0,1225773.0,1058205.0
N-sgb75_08,SGB,75,1940304.0,1033583.0,1161194.0,1054763.0,1054763.0,1596775.0,1202893.0,1054763.0
N-sgb75_09,SGB,75,2034223.0,1038461.0,1159092.0,1036919.0,1036919.0,1556773.0,1201878.0,1036919.0
N-sgb75_10,SGB,75,2026194.0,1046622.0,1195900.0,1056811.0,1056811.0,1583315.0,1229261.0,1056811.0
N-sgb75_11,SGB,75,2065343.0,1041875.0,1181506.0,1057034.0,1057034.0,1551285.0,1228128.0,1057034.0
N-sgb75_12,SGB,75,1920667.0,1020783.0,1182231.0,1039204.0,1039204.0,1600287.0,1195818.0,1039204.0
N-sgb75_13,SGB,75,2028873.0,1029987.0,1204991.0,1039355.0,1039355.0,1534050.0,1208571.0,1039355.0
N-sgb75_14,SGB,75,2010309.0,1042343.0,1202773.0,1059397.0,1059397.0,1611013.0,1234755.0,1059397.0
N-sgb75_15,SGB,75,1941680.0,1047158.0,1188686.0,1059939.0,1059939.0,1579700.0,1201479.0,1059939.0
N-sgb75_16,SGB,75,1953231.0,1056111.0,1174154.0,1056219.0,1056219.0,1627339.0,1222526.0,1056219.0
N-sgb75_17,SGB,75,1954160.0,1049429.0,1180957.0,1060330.0,1060330.0,1573172.0,1227865.0,1060895.0
N-sgb75_18,SGB,75,1899922.0,965828.0,1156267.0,978417.0,978417.0,1400332.0,1168002.0,978417.0
N-sgb75_19,SGB,75,1946355.0,1036943.0,1191408.0,1048259.0,1053284.0,1557790.0,1205165.0,1053284.0
N-sgb75_20,SGB,75,2004434.0,1051826.0,1200099.0,1057128.0,1057128.0,1537416.0,1226929.0,1057128.0
N-sgb75_21,SGB,75,1948945.0,1052903.0,1177518.0,1057629.0,1057629.0,1618904.0,1225464.0,1057629.0
N-sgb75_22,SGB,75,2000692.0,1037129.0,1212731.0,1046197.0,1046197.0,1498166.0,1217493.0,1046197.0
N-sgb75_23,SGB,75,2026944.0,1047731.0,1197956.0,1066445.0,1066445.0,1623125.0,1228546.0,1066445.0
N-sgb75_24,SGB,75,1944257.0,1036852.0,1172249.0,1063338.0,1064579.0,1558432.0,1219643.0,1064579.0
N-sgb75_25,SGB,75,2006643.0,1039663.0,1207679.0,1059975.0,1059975.0,1617719.0,1229970.0,1059975.0
N_be75eec,IO,49,32843.0,8088.0,25492.0,8007.0,8193.0,80258.0,26359.0,8697.0
N_be75np,IO,50,168522.0,25900.0,91019.0,27503.0,29743.0,248953.0,102116.0,29039.0
N_be75oi,IO,49,14537.0,2987.0,11376.0,2934.0,2934.0,31709.0,12442.0,3064.0
N_be75tot,IO,50,211128.0,45488.0,128819.0,49605.0,53445.0,317196.0,144843.0,56484.0
N_stabu70,IO,59,71868.0,26421.0,59297.0,27593.0,29941.0,141836.0,61797.0,30976.0
N_stabu74,IO,59,103969.0,33531.0,82453.0,41295.0,42134.0,203187.0,85278.0,43126.0
N_stabu75,IO,59,107957.0,36678.0,80259.0,41583.0,42280.0,204549.0,82355.0,43562.0
N_t1d100_01,RandA1,100,69901.0,58093.0,63790.0,62715.0,62715.0,77449.0,64155.0,65953.0
N_t1d100_02,RandA1,100,71394.0,59161.0,65768.0,63385.0,64108.0,78730.0,65808.0,66996.0
N_t1d100_03,RandA1,100,72483.0,59502.0,67497.0,65155.0,65155.0,80592.0,67595.0,70228.0
N_t1d100_04,RandA1,100,71729.0,61151.0,66681.0,67024.0,67238.0,79994.0,66895.0,69824.0
N_t1d100_05,RandA1,100,73257.0,61096.0,67581.0,66725.0,66857.0,79928.0,67746.0,69398.0
N_t1d150_01,RandA1,150,169653.0,146626.0,158768.0,159044.0,159044.0,183247.0,158895.0,168163.0
N_t1d150_02,RandA1,150,165917.0,143532.0,154299.0,156579.0,156579.0,181478.0,154372.0,161779.0
N_t1d150_03,RandA1,150,168245.0,144985.0,157294.0,156530.0,156530.0,183902.0,157458.0,166807.0
N_t1d150_04,RandA1,150,165689.0,144186.0,155088.0,155249.0,157485.0,182214.0,155260.0,165388.0
N_t1d150_05,RandA1,150,165760.0,144335.0,156494.0,156859.0,156859.0,182024.0,156704.0,163500.0
N_t1d200_01,RandA1,200,302305.0,265589.0,285703.0,289459.0,289934.0,330009.0,285935.0,300657.0
N_t1d200_02,RandA1,200,299451.0,265158.0,282432.0,283318.0,283318.0,324878.0,282638.0,299127.0
N_t1d200_03,RandA1,200,300005.0,264345.0,286826.0,285675.0,286463.0,326727.0,287078.0,300794.0
N_t1d200_04,RandA1,200,302264.0,267153.0,286154.0,287211.0,287211.0,328379.0,286506.0,301308.0
N_t1d200_05,RandA1,200,307250.0,268729.0,287822.0,291398.0,291999.0,328193.0,287974.0,307999.0
N_tiw56n54,IO,55,19917.0,5333.0,13709.0,4841.0,4922.0,33151.0,14731.0,5341.0
N_tiw56r54,IO,55,22872.0,6146.0,16484.0,6141.0,6211.0,37138.0,17249.0,6916.0
N_usa79,IO,79,428128.0,138028.0,294294.0,160458.0,162646.0,687674.0,310954.0,174692.0
