instance_id,n_success,n_failed,n_total_attempts,bw_min,bw_q1,bw_median,bw_mean,bw_q3,bw_max,bw_std,bw_iqr,bw_cv,n_distinct_bw,rt_min,rt_median,rt_mean,rt_max,n_distinct_pids,n,m,density
bad,20,0,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.0012299099980737083,0.004447151997737819,0.004010314399965864,0.005319979001797037,20,4,4,0.3333333333333333
bad1,20,0,20,94.0,94.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,1,0.013337880998733453,0.017935833498995635,0.017723882849713844,0.0271794209984364,20,13,14,0.08974358974358974
bad2,20,0,20,180.0,180.0,180.0,180.0,180.0,180.0,0.0,0.0,0.0,1,0.005113317001814721,0.008476398499624338,0.00835844624962192,0.01161876800324535,20,11,12,0.10909090909090909
bad3,20,0,20,1519.0,1519.0,1519.0,1519.0,1519.0,1519.0,0.0,0.0,0.0,1,0.0011722439994628076,0.004165141001067241,0.0037384203997135046,0.0048153160023503006,20,4,5,0.4166666666666667
bad4,20,0,20,877.0,877.0,877.0,877.0,877.0,877.0,0.0,0.0,0.0,1,0.003039598999748705,0.0073617119996924885,0.007091077200129803,0.010509667998121586,20,10,11,0.12222222222222222
bad5,20,0,20,770.0,770.0,770.0,770.0,770.0,770.0,0.0,0.0,0.0,1,0.002473027001542505,0.007490802001484553,0.0074791467503018795,0.01109293699846603,20,10,11,0.12222222222222222
bad6,20,0,20,218.0,218.0,218.0,218.0,218.0,218.0,0.0,0.0,0.0,1,0.002029996998317074,0.006847481499789865,0.00558994885032007,0.007849891000660136,20,9,10,0.1388888888888889
bad7,20,0,20,1724.0,1724.0,1757.0,2056.8,1884.5,3713.0,589.3765858939427,160.5,0.28655026540934586,8,0.12511796300168498,0.14944789399851288,0.14628431705077674,0.1612832260034338,20,19,21,0.06140350877192982
bigkey,20,0,20,347696.0,349032.25,350875.5,351279.1,351687.0,358536.0,2763.75628267038,2654.75,0.007867693474136036,20,47.015768215002026,48.90741928749958,50.176236980849716,67.77714262899826,20,3661,12206,0.0009109458283517149
complete2,20,0,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.0012470480032789055,0.00446112300051027,0.004264917050750228,0.005090941001981264,20,2,2,1.0
complete3,20,0,20,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1,0.0013392220025707502,0.004412762000356452,0.004308941300405422,0.005013814999983879,20,3,6,1.0
complete4,20,0,20,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,1,0.0010958600032608956,0.004582776502502384,0.004255942150848568,0.005088043999421643,20,4,12,1.0
complete5,20,0,20,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,1,0.0013388320003286935,0.00474361950000457,0.004552455449629633,0.00513857499754522,20,5,20,1.0
complete6,20,0,20,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,1,0.0024687859986443073,0.004943223499140004,0.004698114300299494,0.0053144039993640035,20,6,30,1.0
complete7,20,0,20,21.0,21.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0,1,0.0015402710014313925,0.005215504501393298,0.004970961050639744,0.005943960000877269,20,7,42,1.0
complete8,20,0,20,28.0,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0,1,0.002822141999786254,0.006158728498121491,0.005931851299646951,0.007045072001346853,20,8,56,1.0
complete9,20,0,20,36.0,36.0,36.0,36.0,36.0,36.0,0.0,0.0,0.0,1,0.0029299880006874446,0.006604940999750397,0.006157556149446464,0.008526845998858334,20,9,72,1.0
daio_receiver,20,0,20,109241.0,120931.25,129765.5,129098.75,139423.0,145403.0,11077.758396331814,18491.75,0.08580840942558943,20,15.493081459000678,15.803827966499739,15.819244768449243,16.46781381799883,20,1942,3749,0.0009945821932381145
dene,20,0,20,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1,0.0012806390004698187,0.00461253999856126,0.0044546844996148135,0.005278571999951964,20,2,2,1.0
