instance_id,n_success,n_failed,n_total_attempts,bw_min,bw_q1,bw_median,bw_mean,bw_q3,bw_max,bw_std,bw_iqr,bw_cv,n_distinct_bw,rt_min,rt_median,rt_mean,rt_max,n_distinct_pids,n,m,density
dsip,20,0,20,193196.0,207274.75,219841.0,223973.8,239241.0,266414.0,21434.918069822426,31966.25,0.09570279233473927,20,61.22141011900021,63.812400429498666,64.47476055525003,69.19602823899913,20,4079,6602,0.0003968940545366818
ecc,20,0,20,129791.0,135494.5,139582.5,141665.8,146570.25,157630.0,7780.283745468413,11075.75,0.05491998594910284,20,11.427126989998214,11.720978915500382,11.734713887800172,12.22489016200052,20,1618,2843,0.001086646592562185
example,20,0,20,32173.0,32173.0,32173.0,32358.5,32703.0,32703.0,252.7938883754906,530.0,0.007812286984115166,2,0.09204015899740625,0.12358610099909129,0.12207238914961635,0.14564868099841988,20,18,32,0.10457516339869281
example-bad1,20,0,20,4494.0,4494.0,4494.0,4494.0,4494.0,4494.0,0.0,0.0,0.0,1,0.0012294929983909242,0.004698307000580826,0.004461210299632512,0.005125233998114709,20,5,6,0.3
example-bad2,20,0,20,15205.0,15205.0,15205.0,15205.0,15205.0,15205.0,0.0,0.0,0.0,1,0.0037064610005472787,0.004726028500954271,0.00466412069999933,0.005399481997301336,20,4,8,0.6666666666666666
example-bad3,20,0,20,1165.0,1165.0,1165.0,1165.0,1165.0,1165.0,0.0,0.0,0.0,1,0.003961881997383898,0.00480429400158755,0.004658365149771271,0.005350939998606918,20,5,6,0.3
example-rev,20,0,20,118.0,118.0,118.0,118.0,118.0,118.0,0.0,0.0,0.0,1,0.10154383100234554,0.12070149400096852,0.1198924378504671,0.13409604299886269,20,18,32,0.10457516339869281
example.new,20,0,20,18638.0,18638.0,18638.0,18912.5,18912.5,19736.0,475.44794667765683,274.5,0.025139349460814638,2,0.10609252900030697,0.12223602550147916,0.12082770520046324,0.1414881940036139,20,18,27,0.08823529411764706
good,20,0,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.0013005879991396796,0.0046862125000188826,0.004495028650308086,0.0051624610023282,20,4,4,0.3333333333333333
gr-paper,20,0,20,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,1,0.0031696290025138296,0.007326823500989121,0.007086012149738963,0.008302317997731734,20,9,11,0.1527777777777778
gr0,20,0,20,6410.0,6410.0,6410.0,6410.0,6410.0,6410.0,0.0,0.0,0.0,1,0.004014491001726128,0.004491176499868743,0.004553285350084479,0.005139223001606297,20,1,1,0.0
gr1,20,0,20,15969.0,15969.0,15969.0,15969.0,15969.0,15969.0,0.0,0.0,0.0,1,0.00646831599806319,0.0074205234996043146,0.007391120899774251,0.008167546999175102,20,10,16,0.17777777777777778
gr1-acyclic,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.006565814997884445,0.0075207275003776886,0.007805249549892324,0.010030326997366501,20,10,15,0.16666666666666666
gr10,20,0,20,58481.0,58481.0,59582.0,59796.65,60683.0,65411.0,1652.2143104028605,2202.0,0.027630549711444713,5,0.5160199479978473,0.6491449989989633,0.6352789270995345,0.7107106200019189,20,47,83,0.03839037927844589
gr11,20,0,20,12414.0,12414.0,12414.0,12414.0,12414.0,12414.0,0.0,0.0,0.0,1,0.0015229490018100478,0.004735027499918942,0.0045044994500131,0.005199420000280952,20,4,5,0.4166666666666667
gr11d,20,0,20,12414.0,12414.0,12414.0,12414.0,12414.0,12414.0,0.0,0.0,0.0,1,0.003627095000410918,0.004473061999306083,0.004507704549359915,0.00527287300064927,20,4,5,0.4166666666666667
gr12,20,0,20,2133.0,2133.0,2133.0,2133.0,2133.0,2133.0,0.0,0.0,0.0,1,0.004461538999748882,0.004904528499537264,0.004913511150334671,0.005431119003333151,20,5,6,0.3
gr13,20,0,20,3987.0,3987.0,3987.0,3987.0,3987.0,3987.0,0.0,0.0,0.0,1,0.004093083000043407,0.004773102498802473,0.0047202453497448005,0.005271025998808909,20,4,5,0.4166666666666667
gr14,20,0,20,14651.0,14651.0,14651.0,14651.0,14651.0,14651.0,0.0,0.0,0.0,1,0.004147258998273173,0.00466318949838751,0.004681777949554089,0.0052662509988294914,20,2,4,2.0
gr2,20,0,20,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,0.0,0.0,0.0,1,0.004327418999309884,0.004780042499987758,0.00475511824934074,0.005279601999063743,20,2,2,1.0
gr3,20,0,20,2252.0,2252.0,2252.0,2252.0,2252.0,2252.0,0.0,0.0,0.0,1,0.0011150850004923996,0.004682953000155976,0.0045301563501197965,0.005163580000953516,20,3,3,0.5
gr4,20,0,20,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,0.0,0.0,0.0,1,0.0038937979988986626,0.004635873001461732,0.00463001144980808,0.005297753999911947,20,3,4,0.6666666666666666
gr4-shift,20,0,20,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,0.0,0.0,0.0,1,0.0036415600006876048,0.0044427180000639055,0.004359278149786405,0.005117998996865936,20,3,4,0.6666666666666666
gr4-shift2,20,0,20,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,0.0,0.0,0.0,1,0.003916519999620505,0.0045224489986139815,0.004551269399780722,0.0051450729988573585,20,3,4,0.6666666666666666
gr5,20,0,20,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,0.0,0.0,0.0,1,0.003601397002057638,0.00473212049837457,0.004664111449710617,0.005244411000603577,20,3,4,0.6666666666666666
gr6,20,0,20,14097.0,14097.0,14097.0,14097.0,14097.0,14097.0,0.0,0.0,0.0,1,0.0037771250026708003,0.004550603000097908,0.004602966550010024,0.005301085999235511,20,3,6,1.0
gr8,20,0,20,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,0.0,0.0,0.0,1,0.004242099999828497,0.004740029999084072,0.00469518564932514,0.005221231000177795,20,2,2,1.0
gr9,20,0,20,6120.0,6120.0,6120.0,6120.0,6120.0,6120.0,0.0,0.0,0.0,1,0.006226173998584272,0.007105586999387015,0.007049032649774745,0.007736671999737155,20,9,12,0.16666666666666666
green,20,0,20,57.0,57.0,57.0,57.0,57.0,57.0,0.0,0.0,0.0,1,0.0037013889996160287,0.00456109850165376,0.0044110691502282865,0.0050769680019584484,20,4,16,1.3333333333333333
green3,20,0,20,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,1,0.003666023003461305,0.004737541999929817,0.004697590000068886,0.005176647999178385,20,3,9,1.5
green3nonzero,20,0,20,12.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,1,0.002696243998798309,0.004425481998623582,0.004466165499616181,0.005262368998955935,20,3,9,1.5
green4,20,0,20,34.0,34.0,34.0,34.0,34.0,34.0,0.0,0.0,0.0,1,0.004393701001390582,0.0047719075009808876,0.0047352152005259995,0.005111231999762822,20,4,16,1.3333333333333333
grid,20,0,20,32947.0,35162.5,42067.5,56191.55,74312.75,120594.0,26782.901118950875,39150.25,0.4766357418321949,20,6.05897968499994,6.127950480500658,6.12312751735044,6.201209807000851,20,1001,3000,0.002997002997002997
howard-min,20,0,20,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,1,0.0012878159977844916,0.004560395998851163,0.004406708099850221,0.0052879380018566735,20,4,9,0.75
mm30a,20,0,20,92947.0,118624.0,132982.5,130833.6,143287.5,154127.0,15853.006564686713,24663.5,0.12116922995841063,20,16.93125731100008,17.344911792999483,17.427677038350158,18.151509704999626,20,2059,3912,0.0009232028341760627
mm4a,20,0,20,9457.0,11822.25,12045.0,12871.7,13618.0,18370.0,2116.455860631164,1795.75,0.16442706562700837,15,1.3219855869974708,1.4036666174997663,1.3919764358501197,1.4380166090013518,20,170,454,0.01580229725026105
mm9a,20,0,20,37812.0,45189.0,50916.5,50062.55,52389.0,67615.0,6907.99608768708,7200.0,0.13798729964188958,16,3.702065371999197,3.8022285850020126,3.8127732840504907,3.982644997002353,20,631,1182,0.002973360501094257
mm9b,20,0,20,42936.0,53047.0,58678.5,61069.0,66730.25,86141.0,11127.845842749619,13683.25,0.18221758736428662,20,4.795991938000952,4.846099654501813,4.85668442865026,4.9670238430007885,20,777,1452,0.002408151892687975
mult16a,20,0,20,21449.0,27953.0,29636.0,31409.05,31814.0,54988.0,6954.228803217507,3861.0,0.22140844130011916,18,1.9836434440003359,2.193989813000371,2.1865913606003233,2.298477812000783,20,293,582,0.006802562064612651
mult16b,20,0,20,20432.0,26411.5,30033.5,31194.0,33809.5,46245.0,6057.474869943746,7398.0,0.19418717926343995,18,2.0845605510003224,2.3819454654985748,2.3842158029496203,2.5435415169995395,20,333,545,0.004929628423604327
mult32a,20,0,20,55346.0,62757.5,70327.0,69112.15,73396.0,84245.0,7654.763518718262,10638.5,0.11075857889992227,19,3.5250860189989908,3.7134462849990086,3.709841562949623,3.949794332998863,20,565,1142,0.003583756982363648
parker1986,20,0,20,237363.0,245138.25,257133.0,261690.3,271287.0,305423.0,19137.795732790128,26148.75,0.07313146774179298,20,30.054245429997536,32.76245888200174,33.18771188084975,39.770539179997286,20,2795,5021,0.0006429571161305276
phase_decoder,20,0,20,72933.0,87106.0,94548.5,96897.7,110584.75,120601.0,13338.207447404617,23478.75,0.13765246695643568,20,11.935561301001144,12.142216825499418,12.200996951249909,13.069869352999376,20,1671,3379,0.0012108637303489967
present,20,0,20,40.0,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,1,0.001295729998673778,0.004568129999825032,0.0044344530002490504,0.004996257001039339,20,4,7,0.5833333333333334
r1000,20,0,20,4965.0,5224.5,5323.0,5323.1,5452.0,5581.0,147.3828008961697,227.5,0.02768740036748693,18,5.962191024002095,6.0633212519987865,6.056862521000221,6.200130594999791,20,999,3960,0.00397190777952301
r20_60,17,0,17,1685.0,1685.0,1698.0,1712.1176470588234,1700.0,1922.0,56.164550629421434,15.0,0.032804142125340635,7,0.12901462000081665,0.15846966100070858,0.15980724758821238,0.19065944500107435,17,20,60,0.15789473684210525
rd_1024_2048_1,20,0,20,652683.0,687457.25,703300.0,708105.2,732787.75,779775.0,31487.653659172513,45330.5,0.044467479774435374,20,6.079344888999913,6.252916337998613,6.252481885099587,6.407308963000105,20,1024,2047,0.0019540796065493646
rd_10_30_1997,20,0,20,38091.0,38091.0,38091.0,38091.0,38091.0,38091.0,0.0,0.0,0.0,1,0.002973369999381248,0.007705162999627646,0.007548241949916701,0.010222527998848818,20,10,27,0.3
rd_4_4_90,20,0,20,807.0,807.0,807.0,807.0,807.0,807.0,0.0,0.0,0.0,1,0.0036833670019404963,0.0043577215019467985,0.004423886900258367,0.005151507000846323,20,4,4,0.3333333333333333
rd_4_8_90,20,0,20,7842.0,7842.0,7842.0,7842.0,7842.0,7842.0,0.0,0.0,0.0,1,0.00417655799901695,0.004708493499492761,0.004691182499846036,0.00512084499860066,20,4,6,0.5
rd_5_10_90,20,0,20,6343.0,6343.0,6343.0,6343.0,6343.0,6343.0,0.0,0.0,0.0,1,0.003970304001995828,0.0048940464985207655,0.004815096850143164,0.005285062998154899,20,5,7,0.35
rd_big,20,0,20,1478792.0,1568383.5,1615965.5,1605562.65,1658112.25,1706189.0,63117.94111445255,89728.75,0.03931203875130787,20,5.914770445997419,6.126536020001367,6.095587366350446,6.200834956001927,20,1000,2999,0.003002002002002002
s1423,20,0,20,86543.0,94200.25,99637.0,100085.75,103517.25,121581.0,7358.512872007495,9317.0,0.07352208353344503,17,5.499962335001328,5.5792951384974,5.604000651800016,5.9120637090018135,20,916,1448,0.00172763500131243
s208,20,0,20,2829.0,5351.0,5801.0,5530.2,6191.0,6710.0,928.8083009964973,840.0,0.1679520272316548,9,0.8371592420007801,0.9113118514997041,0.9111202157995649,1.0091327179979999,20,83,119,0.017484572436085807
s27,17,0,17,1905.0,2090.0,2704.0,3517.5882352941176,5447.0,7022.0,1783.068672057629,3357.0,0.5069009084596682,9,0.5834381050008233,0.7351013869993039,0.7257036555289661,0.8117366100013896,17,54,87,0.03039832285115304
s344,20,0,20,12349.0,14694.5,17109.0,17906.2,19950.0,31029.0,4336.727598085911,5255.5,0.2421913972861864,18,1.81675173399708,2.036267615500037,1.9912213921999864,2.2266366399999242,20,274,388,0.005187027084837304
s349,20,0,20,12711.0,14760.75,17352.0,17527.75,18929.25,27322.0,3486.864477937162,4168.5,0.1989339463386437,14,1.8658807539977715,2.109066534500016,2.069587438450435,2.167918290000671,20,278,395,0.005129470430875516
s382,20,0,20,16659.0,19988.25,22957.0,23706.55,26742.5,32387.0,4894.64083947944,6754.25,0.20646786814105975,16,1.8213093209997169,2.0594335199984926,2.012213336399873,2.1737934470002074,20,273,438,0.005898513251454428
s400,20,0,20,17537.0,19049.0,21060.0,21908.05,24349.75,28918.0,3446.93757522529,5300.75,0.1573365760633781,18,1.9033871219980938,1.9696562119988812,2.036736511249728,2.211454546999448,20,287,462,0.005628517823639775
s420,20,0,20,158.0,474.5,580.0,822.75,1509.0,1663.0,578.0441051511553,1034.5,0.7025756367683444,4,0.9845527039979061,0.9990741984984197,1.0050445917995603,1.103200284000195,20,101,178,0.017623762376237622
s444,20,0,20,14495.0,19627.25,22749.0,22599.4,25937.75,30571.0,4535.24605065701,6310.5,0.20067993179717203,19,2.0445567140013736,2.2586071109999466,2.2489632099997836,2.320856679998542,20,315,503,0.005085431200080881
s526,20,0,20,19352.0,24232.0,25801.0,26070.2,27368.25,34708.0,3651.530084772683,3136.25,0.14006528851994549,20,2.0106922800005123,2.2300818969997636,2.210476032650331,2.3783548999999766,20,318,576,0.005713945598476281
s526n,20,0,20,20477.0,25238.25,26585.0,27167.5,29736.0,32648.0,3488.7735739081722,4497.75,0.12841717397287833,18,1.8761500449982123,2.1419616665007197,2.1038716835995728,2.2959664599984535,20,292,560,0.006590406251471073
s5378,20,0,20,117726.0,125449.0,143749.5,138706.4,150912.25,159667.0,13454.515500009653,25463.25,0.09699996178986445,20,35.64778721100083,36.84424691549975,36.73741229459993,38.43132084699755,20,3076,4589,0.0004851618087052132
s641,20,0,20,14519.0,17549.0,19156.5,19566.75,20766.75,27435.0,3499.534038625714,3217.75,0.17885106308537257,17,2.993663989000197,3.062356220500078,3.0813775434500714,3.207752498001355,20,477,612,0.0026954177897574125
s713,20,0,20,14769.0,17404.0,21251.5,21369.05,25187.5,30344.0,4537.132789273419,7783.5,0.21232262497740512,16,3.216110805002245,3.2925398489987856,3.2830709040501462,3.37686694399963,20,515,688,0.0025990706811227383
s838,20,0,20,31924.0,33830.0,35923.0,36490.95,37711.0,47753.0,4121.399100730237,3881.0,0.11294304754275339,18,3.8874300429997675,3.965345349997733,3.9771784441998532,4.078048273000604,20,665,941,0.0021310807138327746
s9234,20,0,20,104657.0,121257.0,127852.5,127999.2,138152.75,148109.0,12388.154219253165,16895.75,0.09678305973203868,20,36.28488480799933,37.2734749809988,37.292695069250115,39.29669076199934,20,3083,4298,0.00045233506135570437
s953,20,0,20,32455.0,37699.75,43522.0,44539.2,50373.5,58551.0,8175.263039193296,12673.75,0.18355208533591302,20,4.4975312930000655,4.592002945999411,4.608128965649667,4.770170620999124,20,730,1090,0.0020482176748031645
sample,20,0,20,40.0,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,1,0.001275255999644287,0.004538985500403214,0.004376431650052836,0.0050054730018018745,20,4,7,0.5833333333333334
sbc,20,0,20,46703.0,65655.75,70304.0,70466.05,78791.5,81662.0,8719.880110844415,13135.75,0.12374583378583608,19,6.900112551000348,7.030266900999777,7.0300605941502,7.153017870001349,20,1147,1791,0.001362534633941491
small,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0014949770011298824,0.005296894500133931,0.00511932794979657,0.006051348998880712,20,7,8,0.19047619047619047
stg,17,0,17,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,1,0.14544754599774024,0.1645497659992543,0.16526073876443928,0.18624005699894042,17,20,30,0.07894736842105263
trace,20,0,20,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1,0.005453754998598015,0.010673984499590006,0.010830424850246346,0.013222134999523405,20,12,15,0.11363636363636363
