instance_id,n,cv_bw,std_bw,iqr_bw,n_distinct_bw,pct_improved,pct_zero_accepted,min_bw,max_bw,median_bw
bad,4,0.0,0.0,0.0,1,0.0,100.0,1.0,1.0,1.0
bad1,13,0.0,0.0,0.0,1,0.0,100.0,94.0,94.0,94.0
bad2,11,0.0,0.0,0.0,1,0.0,100.0,180.0,180.0,180.0
bad3,4,0.0,0.0,0.0,1,0.0,100.0,1519.0,1519.0,1519.0
bad4,10,0.0,0.0,0.0,1,0.0,100.0,877.0,877.0,877.0
bad5,10,0.0,0.0,0.0,1,0.0,100.0,770.0,770.0,770.0
bad6,9,0.0,0.0,0.0,1,0.0,100.0,218.0,218.0,218.0
bad7,19,0.0,0.0,0.0,1,0.0,100.0,1724.0,1724.0,1724.0
bigkey,3661,0.0,0.0,0.0,1,0.0,100.0,346181.0,346181.0,346181.0
complete2,2,0.0,0.0,0.0,1,0.0,100.0,1.0,1.0,1.0
complete3,3,0.0,0.0,0.0,1,0.0,100.0,3.0,3.0,3.0
complete4,4,0.0,0.0,0.0,1,0.0,100.0,6.0,6.0,6.0
complete5,5,0.0,0.0,0.0,1,0.0,100.0,10.0,10.0,10.0
complete6,6,0.0,0.0,0.0,1,0.0,100.0,15.0,15.0,15.0
complete7,7,0.0,0.0,0.0,1,0.0,100.0,21.0,21.0,21.0
complete8,8,0.0,0.0,0.0,1,0.0,100.0,28.0,28.0,28.0
complete9,9,0.0,0.0,0.0,1,0.0,100.0,36.0,36.0,36.0
daio_receiver,1942,0.0,0.0,0.0,1,100.0,0.0,63398.0,63398.0,63398.0
dene,2,0.0,0.0,0.0,1,0.0,100.0,2.0,2.0,2.0
dsip,4079,0.0,0.0,0.0,1,100.0,0.0,62462.0,62462.0,62462.0
ecc,1618,0.0,0.0,0.0,1,0.0,100.0,96836.0,96836.0,96836.0
example,18,0.0,0.0,0.0,1,0.0,100.0,32173.0,32173.0,32173.0
example-bad1,5,0.0,0.0,0.0,1,0.0,100.0,4494.0,4494.0,4494.0
example-bad2,4,0.0,0.0,0.0,1,0.0,100.0,15205.0,15205.0,15205.0
example-bad3,5,0.0,0.0,0.0,1,0.0,100.0,1165.0,1165.0,1165.0
example-rev,18,0.0,0.0,0.0,1,0.0,100.0,118.0,118.0,118.0
example.new,18,0.0,0.0,0.0,1,0.0,100.0,18638.0,18638.0,18638.0
good,4,0.0,0.0,0.0,1,0.0,100.0,1.0,1.0,1.0
gr-paper,9,0.0,0.0,0.0,1,0.0,100.0,5.0,5.0,5.0
gr0,1,0.0,0.0,0.0,1,0.0,100.0,6410.0,6410.0,6410.0
gr1,10,0.0,0.0,0.0,1,0.0,100.0,15969.0,15969.0,15969.0
gr1-acyclic,10,nan,0.0,0.0,1,0.0,100.0,0.0,0.0,0.0
gr10,47,0.0,0.0,0.0,1,0.0,100.0,58481.0,58481.0,58481.0
gr11,4,0.0,0.0,0.0,1,0.0,100.0,12414.0,12414.0,12414.0
gr11d,4,0.0,0.0,0.0,1,0.0,100.0,12414.0,12414.0,12414.0
gr12,5,0.0,0.0,0.0,1,0.0,100.0,2133.0,2133.0,2133.0
gr13,4,0.0,0.0,0.0,1,0.0,100.0,3987.0,3987.0,3987.0
gr14,2,0.0,0.0,0.0,1,0.0,100.0,14651.0,14651.0,14651.0
gr2,2,0.0,0.0,0.0,1,0.0,100.0,5118.0,5118.0,5118.0
gr3,3,0.0,0.0,0.0,1,0.0,100.0,2252.0,2252.0,2252.0
