instance_id,seed,objective_bw,lr_seed_bw,wmsf_seed_bw,initial_incumbent_bw,improved_over_seed,improvement_abs,improvement_pct,accepted_moves,rejected_moves,best_iteration,runtime_seconds,time_to_best_seconds
bad,0,1.0,1.0,1.0,1.0,False,0.0,0.0,0,400,0,0.17088925500002006,0.0
bad,1,1.0,1.0,1.0,1.0,False,0.0,0.0,0,400,0,0.004275922000033461,0.0
bad,2,1.0,1.0,1.0,1.0,False,0.0,0.0,0,400,0,0.003770008999708807,0.0
bad,3,1.0,1.0,1.0,1.0,False,0.0,0.0,0,400,0,0.00373641799978941,0.0
bad,4,1.0,1.0,1.0,1.0,False,0.0,0.0,0,400,0,0.0037745129998256743,0.0
bad,5,1.0,1.0,1.0,1.0,False,0.0,0.0,0,400,0,0.0037905720000708243,0.0
bad,6,1.0,1.0,1.0,1.0,False,0.0,0.0,0,400,0,0.003745242999684706,0.0
bad,7,1.0,1.0,1.0,1.0,False,0.0,0.0,0,400,0,0.003788983000049484,0.0
bad,8,1.0,1.0,1.0,1.0,False,0.0,0.0,0,400,0,0.004091450000032637,0.0
bad,9,1.0,1.0,1.0,1.0,False,0.0,0.0,0,400,0,0.0036724429996866093,0.0
bad,10,1.0,1.0,1.0,1.0,False,0.0,0.0,0,400,0,0.003809541000009631,0.0
bad,11,1.0,1.0,1.0,1.0,False,0.0,0.0,0,400,0,0.0037471330001608294,0.0
bad,12,1.0,1.0,1.0,1.0,False,0.0,0.0,0,400,0,0.0037522739999076293,0.0
bad,13,1.0,1.0,1.0,1.0,False,0.0,0.0,0,400,0,0.0038492909998240066,0.0
bad,14,1.0,1.0,1.0,1.0,False,0.0,0.0,0,400,0,0.003740296999694692,0.0
bad,15,1.0,1.0,1.0,1.0,False,0.0,0.0,0,400,0,0.003980065000178001,0.0
bad,16,1.0,1.0,1.0,1.0,False,0.0,0.0,0,400,0,0.0038870749999659893,0.0
bad,17,1.0,1.0,1.0,1.0,False,0.0,0.0,0,400,0,0.003823986000043078,0.0
bad,18,1.0,1.0,1.0,1.0,False,0.0,0.0,0,400,0,0.0037453110003298207,0.0
bad,19,1.0,1.0,1.0,1.0,False,0.0,0.0,0,400,0,0.0037735649998467125,0.0
bad1,0,94.0,94.0,94.0,94.0,False,0.0,0.0,0,400,0,0.009895214999687596,0.0
bad1,1,94.0,94.0,94.0,94.0,False,0.0,0.0,0,400,0,0.009914910999668791,0.0
bad1,2,94.0,94.0,94.0,94.0,False,0.0,0.0,0,400,0,0.009891488999983267,0.0
bad1,3,94.0,94.0,94.0,94.0,False,0.0,0.0,0,400,0,0.009943473999555863,0.0
bad1,4,94.0,94.0,94.0,94.0,False,0.0,0.0,0,400,0,0.010007522000250901,0.0
bad1,5,94.0,94.0,94.0,94.0,False,0.0,0.0,0,400,0,0.009993290999773308,0.0
bad1,6,94.0,94.0,94.0,94.0,False,0.0,0.0,0,400,0,0.009979579000173544,0.0
bad1,7,94.0,94.0,94.0,94.0,False,0.0,0.0,0,400,0,0.009902810000312456,0.0
bad1,8,94.0,94.0,94.0,94.0,False,0.0,0.0,0,400,0,0.010022912000295037,0.0
bad1,9,94.0,94.0,94.0,94.0,False,0.0,0.0,0,400,0,0.009911210000154824,0.0
bad1,10,94.0,94.0,94.0,94.0,False,0.0,0.0,0,400,0,0.009926494999945135,0.0
bad1,11,94.0,94.0,94.0,94.0,False,0.0,0.0,0,400,0,0.009940459000063129,0.0
bad1,12,94.0,94.0,94.0,94.0,False,0.0,0.0,0,400,0,0.009857573000317643,0.0
bad1,13,94.0,94.0,94.0,94.0,False,0.0,0.0,0,400,0,0.009887622999940504,0.0
