instance_id,n_distinct_bw,bw_spread,bw_cv,bw_iqr
rd_big,20,227397.0,0.03931203875130787,89728.75
rd_1024_2048_1,20,127092.0,0.044467479774435374,45330.5
grid,20,87647.0,0.4766357418321949,39150.25
dsip,20,73218.0,0.09570279233473927,31966.25
parker1986,20,68060.0,0.07313146774179298,26148.75
mm30a,20,61180.0,0.12116922995841063,24663.5
phase_decoder,20,47668.0,0.13765246695643568,23478.75
s9234,20,43452.0,0.09678305973203868,16895.75
mm9b,20,43205.0,0.18221758736428662,13683.25
s5378,20,41941.0,0.09699996178986445,25463.25
daio_receiver,20,36162.0,0.08580840942558943,18491.75
s1423,17,35038.0,0.07352208353344503,9317.0
sbc,19,34959.0,0.12374583378583608,13135.75
mult16a,18,33539.0,0.22140844130011916,3861.0
mm9a,16,29803.0,0.13798729964188958,7200.0
mult32a,19,28899.0,0.11075857889992227,10638.5
ecc,20,27839.0,0.05491998594910284,11075.75
s953,20,26096.0,0.18355208533591302,12673.75
mult16b,18,25813.0,0.19418717926343995,7398.0
s344,18,18680.0,0.2421913972861864,5255.5
s444,19,16076.0,0.20067993179717203,6310.5
s838,18,15829.0,0.11294304754275339,3881.0
s382,16,15728.0,0.20646786814105975,6754.25
s713,16,15575.0,0.21232262497740512,7783.5
s526,20,15356.0,0.14006528851994549,3136.25
s349,14,14611.0,0.1989339463386437,4168.5
s641,17,12916.0,0.17885106308537257,3217.75
s526n,18,12171.0,0.12841717397287833,4497.75
s400,18,11381.0,0.1573365760633781,5300.75
bigkey,20,10840.0,0.007867693474136036,2654.75
mm4a,15,8913.0,0.16442706562700837,1795.75
gr10,5,6930.0,0.027630549711444713,2202.0
s27,9,5117.0,0.5069009084596682,3357.0
s208,9,3881.0,0.1679520272316548,840.0
bad7,8,1989.0,0.28655026540934586,160.5
s420,4,1505.0,0.7025756367683444,1034.5
example.new,2,1098.0,0.025139349460814638,274.5
r1000,18,616.0,0.02768740036748693,227.5
example,2,530.0,0.007812286984115166,530.0
r20_60,7,237.0,0.032804142125340635,15.0
bad,1,0.0,0.0,0.0
bad1,1,0.0,0.0,0.0
bad2,1,0.0,0.0,0.0
bad3,1,0.0,0.0,0.0
bad4,1,0.0,0.0,0.0
bad5,1,0.0,0.0,0.0
bad6,1,0.0,0.0,0.0
complete2,1,0.0,0.0,0.0
complete3,1,0.0,0.0,0.0
complete4,1,0.0,0.0,0.0
complete5,1,0.0,0.0,0.0
complete6,1,0.0,0.0,0.0
complete7,1,0.0,0.0,0.0
complete8,1,0.0,0.0,0.0
complete9,1,0.0,0.0,0.0
dene,1,0.0,0.0,0.0
example-bad1,1,0.0,0.0,0.0
example-bad2,1,0.0,0.0,0.0
example-bad3,1,0.0,0.0,0.0
example-rev,1,0.0,0.0,0.0
good,1,0.0,0.0,0.0
gr-paper,1,0.0,0.0,0.0
gr0,1,0.0,0.0,0.0
gr1,1,0.0,0.0,0.0
gr1-acyclic,1,0.0,0.0,0.0
gr11,1,0.0,0.0,0.0
gr11d,1,0.0,0.0,0.0
gr12,1,0.0,0.0,0.0
gr13,1,0.0,0.0,0.0
gr14,1,0.0,0.0,0.0
gr2,1,0.0,0.0,0.0
gr3,1,0.0,0.0,0.0
gr4,1,0.0,0.0,0.0
gr4-shift,1,0.0,0.0,0.0
gr4-shift2,1,0.0,0.0,0.0
gr5,1,0.0,0.0,0.0
gr6,1,0.0,0.0,0.0
gr8,1,0.0,0.0,0.0
gr9,1,0.0,0.0,0.0
green,1,0.0,0.0,0.0
green3,1,0.0,0.0,0.0
green3nonzero,1,0.0,0.0,0.0
green4,1,0.0,0.0,0.0
howard-min,1,0.0,0.0,0.0
present,1,0.0,0.0,0.0
rd_10_30_1997,1,0.0,0.0,0.0
rd_4_4_90,1,0.0,0.0,0.0
rd_4_8_90,1,0.0,0.0,0.0
rd_5_10_90,1,0.0,0.0,0.0
sample,1,0.0,0.0,0.0
small,1,0.0,0.0,0.0
stg,1,0.0,0.0,0.0
trace,1,0.0,0.0,0.0
