instance_id,p_ipsns_win,p_tie,p_dr_win,category,n_cross_pairs
bad,0.0,1.0,0.0,ambiguous,400
bad1,0.0,1.0,0.0,ambiguous,400
bad2,0.0,1.0,0.0,ambiguous,400
bad3,0.0,1.0,0.0,ambiguous,400
bad4,0.0,1.0,0.0,ambiguous,400
bad5,0.0,1.0,0.0,ambiguous,400
bad6,0.0,1.0,0.0,ambiguous,400
bad7,0.65,0.35,0.0,ambiguous,400
bigkey,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
complete2,0.0,1.0,0.0,ambiguous,400
complete3,0.0,1.0,0.0,ambiguous,400
complete4,0.0,1.0,0.0,ambiguous,400
complete5,0.0,1.0,0.0,ambiguous,400
complete6,0.0,1.0,0.0,ambiguous,400
complete7,0.0,1.0,0.0,ambiguous,400
complete8,0.0,1.0,0.0,ambiguous,400
complete9,0.0,1.0,0.0,ambiguous,400
daio_receiver,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
dene,0.0,1.0,0.0,ambiguous,400
dsip,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
ecc,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
example,0.35,0.65,0.0,ambiguous,400
example-bad1,0.0,1.0,0.0,ambiguous,400
example-bad2,0.0,1.0,0.0,ambiguous,400
example-bad3,0.0,1.0,0.0,ambiguous,400
example-rev,0.0,1.0,0.0,ambiguous,400
example.new,0.25,0.75,0.0,ambiguous,400
good,0.0,1.0,0.0,ambiguous,400
gr-paper,0.0,1.0,0.0,ambiguous,400
gr0,0.0,1.0,0.0,ambiguous,400
gr1,0.0,1.0,0.0,ambiguous,400
gr1-acyclic,0.0,1.0,0.0,ambiguous,400
gr10,0.55,0.45,0.0,ambiguous,400
gr11,0.0,1.0,0.0,ambiguous,400
gr11d,0.0,1.0,0.0,ambiguous,400
gr12,0.0,1.0,0.0,ambiguous,400
gr13,0.0,1.0,0.0,ambiguous,400
gr14,0.0,1.0,0.0,ambiguous,400
gr2,0.0,1.0,0.0,ambiguous,400
gr3,0.0,1.0,0.0,ambiguous,400
gr4,0.0,1.0,0.0,ambiguous,400
gr4-shift,0.0,1.0,0.0,ambiguous,400
gr4-shift2,0.0,1.0,0.0,ambiguous,400
gr5,0.0,1.0,0.0,ambiguous,400
gr6,0.0,1.0,0.0,ambiguous,400
gr8,0.0,1.0,0.0,ambiguous,400
gr9,0.0,1.0,0.0,ambiguous,400
green,0.0,1.0,0.0,ambiguous,400
green3,0.0,1.0,0.0,ambiguous,400
green3nonzero,0.0,1.0,0.0,ambiguous,400
green4,0.0,1.0,0.0,ambiguous,400
grid,0.95,0.0,0.05,IPSNS_win_ge_0.95,400
howard-min,0.0,1.0,0.0,ambiguous,400
mm30a,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
mm4a,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
mm9a,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
mm9b,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
mult16a,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
mult16b,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
mult32a,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
parker1986,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
phase_decoder,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
present,0.0,1.0,0.0,ambiguous,400
r1000,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
r20_60,0.55,0.0,0.45,ambiguous,400
rd_1024_2048_1,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
rd_10_30_1997,0.0,1.0,0.0,ambiguous,400
rd_4_4_90,0.0,1.0,0.0,ambiguous,400
rd_4_8_90,0.0,1.0,0.0,ambiguous,400
rd_5_10_90,0.0,1.0,0.0,ambiguous,400
rd_big,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
s1423,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
s208,0.95,0.05,0.0,IPSNS_win_ge_0.95,400
s27,0.85,0.15,0.0,IPSNS_win_0.75_0.95,400
s344,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
s349,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
s382,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
s400,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
s420,0.75,0.25,0.0,IPSNS_win_0.75_0.95,400
s444,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
s526,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
s526n,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
s5378,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
s641,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
s713,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
s838,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
s9234,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
s953,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
sample,0.0,1.0,0.0,ambiguous,400
sbc,1.0,0.0,0.0,IPSNS_win_ge_0.95,400
small,0.0,1.0,0.0,ambiguous,400
stg,0.0,1.0,0.0,ambiguous,400
trace,0.0,1.0,0.0,ambiguous,400
