instance_id,n,m,n_seeds,min_bw,q1_bw,median_bw,mean_bw,q3_bw,max_bw,std_bw,iqr_bw,cv_bw,n_distinct_bw,n_improved,pct_improved,median_improvement,max_improvement,n_zero_accepted,pct_zero_accepted,median_runtime,median_time_to_best,median_accepted_moves,median_best_iteration,incumbent_bw_at_start
gr1-acyclic,10,15,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,1,0,0.0,0.0,0.0,20,100.0,0.0004840209999201761,0.0,0.0,0.0,0.0
gr10,47,83,20,58481.0,58481.0,58481.0,58481.0,58481.0,58481.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.016026842000428587,0.0,0.0,0.0,58481.0
gr11,4,5,20,12414.0,12414.0,12414.0,12414.0,12414.0,12414.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.00431672200011235,0.0,0.0,0.0,12414.0
gr11d,4,5,20,12414.0,12414.0,12414.0,12414.0,12414.0,12414.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.004322973500165972,0.0,0.0,0.0,12414.0
gr12,5,6,20,2133.0,2133.0,2133.0,2133.0,2133.0,2133.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.005865334000191069,0.0,0.0,0.0,2133.0
gr13,4,5,20,3987.0,3987.0,3987.0,3987.0,3987.0,3987.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.005549802999667008,0.0,0.0,0.0,3987.0
gr14,2,4,20,14651.0,14651.0,14651.0,14651.0,14651.0,14651.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.0040413120000266645,0.0,0.0,0.0,14651.0
gr2,2,2,20,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.003488783499960846,0.0,0.0,0.0,5118.0
gr3,3,3,20,2252.0,2252.0,2252.0,2252.0,2252.0,2252.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.004186033000678435,0.0,0.0,0.0,2252.0
gr4,3,4,20,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.003654373999324889,0.0,0.0,0.0,5118.0
gr4-shift,3,4,20,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.004681089999849064,0.0,0.0,0.0,5118.0
gr4-shift2,3,4,20,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.004513897999913752,0.0,0.0,0.0,5118.0
gr5,3,4,20,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.003728433499873063,0.0,0.0,0.0,5118.0
gr6,3,6,20,14097.0,14097.0,14097.0,14097.0,14097.0,14097.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.005527066499780631,0.0,0.0,0.0,14097.0
gr8,2,2,20,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.00044675549997919006,0.0,0.0,0.0,5118.0
gr9,9,12,20,6120.0,6120.0,6120.0,6120.0,6120.0,6120.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.007144916499782994,0.0,0.0,0.0,6120.0
green,4,16,20,57.0,57.0,57.0,57.0,57.0,57.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.011360730499745841,0.0,0.0,0.0,57.0
green3,3,9,20,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.007029486000192264,0.0,0.0,0.0,11.0
green3nonzero,3,9,20,12.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.0074072954994335305,0.0,0.0,0.0,12.0
green4,4,16,20,34.0,34.0,34.0,34.0,34.0,34.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.010087176999604708,0.0,0.0,0.0,34.0
grid,1001,3000,20,32954.0,32954.0,32954.0,32954.0,32954.0,32954.0,0.0,0.0,0.0,1,20,100.0,3.0,3.0,0,0.0,0.4447335515001214,0.005830329999753303,1.0,7.5,32957.0
howard-min,4,9,20,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.00580956400017385,0.0,0.0,0.0,11.0
mm30a,2059,3912,20,16351.0,16351.0,16351.0,16351.0,16351.0,16351.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,1.916871390000324,0.0,0.0,0.0,16351.0
mm4a,170,454,20,4053.0,4053.0,4053.0,4053.0,4053.0,4053.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.07972790050007461,0.0,0.0,0.0,4053.0
mm9a,631,1182,20,9542.0,9542.0,9542.0,9542.0,9542.0,9542.0,0.0,0.0,0.0,1,20,100.0,146.0,146.0,0,0.0,0.2929244384999947,0.002281202499943902,1.0,3.0,9688.0
mm9b,777,1452,20,8278.0,8278.0,8278.0,8278.0,8278.0,8278.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.783504233000258,0.0,0.0,0.0,8278.0
mult16a,293,582,20,14348.0,14348.0,14348.0,14348.0,14348.0,14348.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.479614978999507,0.0,0.0,0.0,14348.0
mult16b,333,545,20,16618.0,16618.0,16618.0,16618.0,16618.0,16618.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.07170245850056745,0.0,0.0,0.0,16618.0
mult32a,565,1142,20,40635.0,40635.0,40635.0,40635.0,40635.0,40635.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,2.350815029500154,0.0,0.0,0.0,40635.0
parker1986,2795,5021,20,122961.0,122961.0,122961.0,122961.0,122961.0,122961.0,0.0,0.0,0.0,1,20,100.0,270.0,270.0,0,0.0,25.478293850000227,0.06713913400017191,1.0,1.0,123231.0
phase_decoder,1671,3379,20,46676.0,46676.0,46676.0,46676.0,46676.0,46676.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.9499616299999616,0.0,0.0,0.0,46676.0
present,4,7,20,40.0,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.005713388499771099,0.0,0.0,0.0,40.0
r1000,999,3960,20,4055.0,4055.0,4055.0,4055.0,4055.0,4055.0,0.0,0.0,0.0,1,20,100.0,320.0,320.0,0,0.0,56.4429929934995,0.4224265934999494,3.0,3.0,4375.0
r20_60,20,60,20,1688.0,1688.0,1688.0,1688.0,1688.0,1688.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.04973524550041475,0.0,0.0,0.0,1688.0
rd_1024_2048_1,1024,2047,20,285351.0,285351.0,285351.0,285351.0,285351.0,285351.0,0.0,0.0,0.0,1,20,100.0,10838.0,10838.0,0,0.0,16.42179880950016,0.16466429049978615,4.0,4.0,296189.0
rd_10_30_1997,10,27,20,38091.0,38091.0,38091.0,38091.0,38091.0,38091.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.016024955500142823,0.0,0.0,0.0,38091.0
rd_4_4_90,4,4,20,807.0,807.0,807.0,807.0,807.0,807.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.0049001590000443684,0.0,0.0,0.0,807.0
rd_4_8_90,4,6,20,7842.0,7842.0,7842.0,7842.0,7842.0,7842.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.005625928999961616,0.0,0.0,0.0,7842.0
rd_5_10_90,5,7,20,6343.0,6343.0,6343.0,6343.0,6343.0,6343.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.0064351154996984405,0.0,0.0,0.0,6343.0
rd_big,1000,2999,20,1061050.0,1061050.0,1061050.0,1061050.0,1061050.0,1061050.0,0.0,0.0,0.0,1,20,100.0,35707.0,35707.0,0,0.0,35.5555760025004,0.18735053399996104,2.0,2.0,1096757.0
s1423,916,1448,20,55340.0,55340.0,55340.0,55340.0,55340.0,55340.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,2.8587752030002775,0.0,0.0,0.0,55340.0
s208,83,119,20,2829.0,2829.0,2829.0,2829.0,2829.0,2829.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.020035872999869753,0.0,0.0,0.0,2829.0
s27,54,87,20,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.01906696199966973,0.0,0.0,0.0,1905.0
s344,274,388,20,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.154929222499959,0.0,0.0,0.0,6001.0
s349,278,395,20,6729.0,6729.0,6729.0,6729.0,6729.0,6729.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.10691395549974914,0.0,0.0,0.0,6729.0
s382,273,438,20,10454.0,10454.0,10454.0,10454.0,10454.0,10454.0,0.0,0.0,0.0,1,20,100.0,399.0,399.0,0,0.0,0.09772639750008238,0.0012336969998614222,1.0,5.0,10853.0
s400,287,462,20,10329.0,10329.0,10329.0,10329.0,10329.0,10329.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.10293003950027924,0.0,0.0,0.0,10329.0
s420,101,178,20,158.0,158.0,158.0,158.0,158.0,158.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.02394860649974362,0.0,0.0,0.0,158.0
s444,315,503,20,8547.0,8547.0,8547.0,8547.0,8547.0,8547.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.11070488649966137,0.0,0.0,0.0,8547.0
s526,318,576,20,16261.0,16261.0,16261.0,16261.0,16261.0,16261.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.08427673600044727,0.0,0.0,0.0,16261.0
s526n,292,560,20,14826.0,14826.0,14826.0,14826.0,14826.0,14826.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.08176806749997922,0.0,0.0,0.0,14826.0
s5378,3076,4589,20,8013.0,8013.0,8013.0,8013.0,8013.0,8013.0,0.0,0.0,0.0,1,20,100.0,563.0,563.0,0,0.0,10.967144230999565,0.026117623499885667,1.0,1.0,8576.0
s641,477,612,20,2403.0,2403.0,2403.0,2403.0,2403.0,2403.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.3628649779998341,0.0,0.0,0.0,2403.0
s713,515,688,20,2339.0,2339.0,2339.0,2339.0,2339.0,2339.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.4589699504995224,0.0,0.0,0.0,2339.0
s838,665,941,20,16098.0,16098.0,16098.0,16098.0,16098.0,16098.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.14557174950050467,0.0,0.0,0.0,16098.0
s9234,3083,4298,20,29295.0,29295.0,29295.0,29295.0,29295.0,29295.0,0.0,0.0,0.0,1,20,100.0,31.0,31.0,0,0.0,8.403645725999922,0.0232959650002158,1.0,1.0,29326.0
s953,730,1090,20,6228.0,6228.0,6228.0,6228.0,6228.0,6228.0,0.0,0.0,0.0,1,20,100.0,557.0,557.0,0,0.0,0.5449891799999023,0.0013907190000281844,1.0,1.0,6785.0
sample,4,7,20,40.0,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.005592905500179768,0.0,0.0,0.0,40.0
sbc,1147,1791,20,10094.0,10094.0,10094.0,10094.0,10094.0,10094.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.5514464714992755,0.0,0.0,0.0,10094.0
small,7,8,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,1,0,0.0,0.0,0.0,20,100.0,0.0004709829995590553,0.0,0.0,0.0,0.0
stg,20,30,20,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.025760992499726854,0.0,0.0,0.0,5.0
trace,12,15,20,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20,100.0,0.007102479500190384,0.0,0.0,0.0,2.0
