algorithm,k,instance_id,expected_best_k,median_best_k
ipsns,1,s444,8547.0,8547.0
ipsns,1,s526,16261.0,16261.0
ipsns,1,s526n,14826.0,14826.0
ipsns,1,s5378,8013.0,8013.0
ipsns,1,s641,2403.0,2403.0
ipsns,1,s713,2339.0,2339.0
ipsns,1,s838,16098.0,16098.0
ipsns,1,s9234,29295.0,29295.0
ipsns,1,s953,6228.0,6228.0
ipsns,1,sample,40.0,40.0
ipsns,1,sbc,10094.0,10094.0
ipsns,1,small,0.0,0.0
ipsns,1,stg,5.0,5.0
ipsns,1,trace,2.0,2.0
drmaciver,1,bad,1.0,1.0
drmaciver,1,bad1,94.0,94.0
drmaciver,1,bad2,180.0,180.0
drmaciver,1,bad3,1519.0,1519.0
drmaciver,1,bad4,877.0,877.0
drmaciver,1,bad5,770.0,770.0
drmaciver,1,bad6,218.0,218.0
drmaciver,1,bad7,2064.7265,1757.0
drmaciver,1,bigkey,351251.3635,350913.0
drmaciver,1,complete2,1.0,1.0
drmaciver,1,complete3,3.0,3.0
drmaciver,1,complete4,6.0,6.0
drmaciver,1,complete5,10.0,10.0
drmaciver,1,complete6,15.0,15.0
drmaciver,1,complete7,21.0,21.0
drmaciver,1,complete8,28.0,28.0
drmaciver,1,complete9,36.0,36.0
drmaciver,1,daio_receiver,128987.3395,129765.5
drmaciver,1,dene,2.0,2.0
drmaciver,1,dsip,223875.402,223833.0
drmaciver,1,ecc,141518.027,139285.0
drmaciver,1,example,32366.98,32173.0
drmaciver,1,example-bad1,4494.0,4494.0
drmaciver,1,example-bad2,15205.0,15205.0
drmaciver,1,example-bad3,1165.0,1165.0
drmaciver,1,example-rev,118.0,118.0
drmaciver,1,example.new,18899.324,18638.0
drmaciver,1,good,1.0,1.0
drmaciver,1,gr-paper,5.0,5.0
drmaciver,1,gr0,6410.0,6410.0
drmaciver,1,gr1,15969.0,15969.0
drmaciver,1,gr1-acyclic,0.0,0.0
drmaciver,1,gr10,59824.974,59582.0
drmaciver,1,gr11,12414.0,12414.0
drmaciver,1,gr11d,12414.0,12414.0
drmaciver,1,gr12,2133.0,2133.0
drmaciver,1,gr13,3987.0,3987.0
drmaciver,1,gr14,14651.0,14651.0
drmaciver,1,gr2,5118.0,5118.0
drmaciver,1,gr3,2252.0,2252.0
drmaciver,1,gr4,5118.0,5118.0
drmaciver,1,gr4-shift,5118.0,5118.0
drmaciver,1,gr4-shift2,5118.0,5118.0
drmaciver,1,gr5,5118.0,5118.0
drmaciver,1,gr6,14097.0,14097.0
drmaciver,1,gr8,5118.0,5118.0
drmaciver,1,gr9,6120.0,6120.0
drmaciver,1,green,57.0,57.0
drmaciver,1,green3,11.0,11.0
drmaciver,1,green3nonzero,12.0,12.0
drmaciver,1,green4,34.0,34.0
drmaciver,1,grid,55522.901,41855.0
drmaciver,1,howard-min,11.0,11.0
drmaciver,1,mm30a,130228.0055,129839.0
drmaciver,1,mm4a,12855.9355,12045.0
drmaciver,1,mm9a,50159.7595,50965.0
drmaciver,1,mm9b,61435.7815,60121.0
drmaciver,1,mult16a,31364.042,29636.0
drmaciver,1,mult16b,31128.0015,29944.0
drmaciver,1,mult32a,69132.0225,69875.0
drmaciver,1,parker1986,261397.6335,254185.0
drmaciver,1,phase_decoder,97120.299,95121.0
drmaciver,1,present,40.0,40.0
drmaciver,1,r1000,5319.078,5308.0
drmaciver,1,r20_60,1717.313,1698.0
drmaciver,1,rd_1024_2048_1,708229.956,706567.0
drmaciver,1,rd_10_30_1997,38091.0,38091.0
drmaciver,1,rd_4_4_90,807.0,807.0
drmaciver,1,rd_4_8_90,7842.0,7842.0
drmaciver,1,rd_5_10_90,6343.0,6343.0
drmaciver,1,rd_big,1607790.4115,1617162.0
drmaciver,1,s1423,100150.689,99637.0
drmaciver,1,s208,5510.027,5801.0
drmaciver,1,s27,3575.039,2745.0
drmaciver,1,s344,17806.3,16992.0
drmaciver,1,s349,17538.6245,17352.0
drmaciver,1,s382,23763.1265,22578.0
drmaciver,1,s400,21878.439,20776.0
drmaciver,1,s420,817.805,580.0
drmaciver,1,s444,22622.2875,23529.0
drmaciver,1,s526,25969.33,25763.0
drmaciver,1,s526n,27165.263,26460.0
drmaciver,1,s5378,138852.0025,144106.0
drmaciver,1,s641,19664.804,19322.0
drmaciver,1,s713,21474.514,21351.0
drmaciver,1,s838,36439.1265,35829.0
drmaciver,1,s9234,127880.245,127852.5
drmaciver,1,s953,44477.9035,43358.0
drmaciver,1,sample,40.0,40.0
drmaciver,1,sbc,70273.6445,67733.0
drmaciver,1,small,0.0,0.0
drmaciver,1,stg,5.0,5.0
drmaciver,1,trace,2.0,2.0
ipsns,2,bad,1.0,1.0
ipsns,2,bad1,94.0,94.0
ipsns,2,bad2,180.0,180.0
ipsns,2,bad3,1519.0,1519.0
ipsns,2,bad4,877.0,877.0
ipsns,2,bad5,770.0,770.0
ipsns,2,bad6,218.0,218.0
ipsns,2,bad7,1724.0,1724.0
ipsns,2,bigkey,346181.0,346181.0
ipsns,2,complete2,1.0,1.0
ipsns,2,complete3,3.0,3.0
ipsns,2,complete4,6.0,6.0
ipsns,2,complete5,10.0,10.0
ipsns,2,complete6,15.0,15.0
ipsns,2,complete7,21.0,21.0
ipsns,2,complete8,28.0,28.0
ipsns,2,complete9,36.0,36.0
ipsns,2,daio_receiver,63398.0,63398.0
ipsns,2,dene,2.0,2.0
ipsns,2,dsip,62462.0,62462.0
ipsns,2,ecc,96836.0,96836.0
ipsns,2,example,32173.0,32173.0
ipsns,2,example-bad1,4494.0,4494.0
ipsns,2,example-bad2,15205.0,15205.0
ipsns,2,example-bad3,1165.0,1165.0
ipsns,2,example-rev,118.0,118.0
ipsns,2,example.new,18638.0,18638.0
ipsns,2,good,1.0,1.0
ipsns,2,gr-paper,5.0,5.0
ipsns,2,gr0,6410.0,6410.0
ipsns,2,gr1,15969.0,15969.0
ipsns,2,gr1-acyclic,0.0,0.0
ipsns,2,gr10,58481.0,58481.0
ipsns,2,gr11,12414.0,12414.0
ipsns,2,gr11d,12414.0,12414.0
ipsns,2,gr12,2133.0,2133.0
ipsns,2,gr13,3987.0,3987.0
ipsns,2,gr14,14651.0,14651.0
ipsns,2,gr2,5118.0,5118.0
ipsns,2,gr3,2252.0,2252.0
ipsns,2,gr4,5118.0,5118.0
ipsns,2,gr4-shift,5118.0,5118.0
ipsns,2,gr4-shift2,5118.0,5118.0
ipsns,2,gr5,5118.0,5118.0
ipsns,2,gr6,14097.0,14097.0
ipsns,2,gr8,5118.0,5118.0
ipsns,2,gr9,6120.0,6120.0
ipsns,2,green,57.0,57.0
ipsns,2,green3,11.0,11.0
ipsns,2,green3nonzero,12.0,12.0
ipsns,2,green4,34.0,34.0
ipsns,2,grid,32954.0,32954.0
ipsns,2,howard-min,11.0,11.0
ipsns,2,mm30a,16351.0,16351.0
ipsns,2,mm4a,4053.0,4053.0
ipsns,2,mm9a,9542.0,9542.0
ipsns,2,mm9b,8278.0,8278.0
ipsns,2,mult16a,14348.0,14348.0
ipsns,2,mult16b,16618.0,16618.0
ipsns,2,mult32a,40635.0,40635.0
ipsns,2,parker1986,122961.0,122961.0
ipsns,2,phase_decoder,46676.0,46676.0
ipsns,2,present,40.0,40.0
ipsns,2,r1000,4055.0,4055.0
ipsns,2,r20_60,1688.0,1688.0
ipsns,2,rd_1024_2048_1,285351.0,285351.0
ipsns,2,rd_10_30_1997,38091.0,38091.0
ipsns,2,rd_4_4_90,807.0,807.0
ipsns,2,rd_4_8_90,7842.0,7842.0
ipsns,2,rd_5_10_90,6343.0,6343.0
ipsns,2,rd_big,1061050.0,1061050.0
ipsns,2,s1423,55340.0,55340.0
ipsns,2,s208,2829.0,2829.0
ipsns,2,s27,1905.0,1905.0
ipsns,2,s344,6001.0,6001.0
ipsns,2,s349,6729.0,6729.0
ipsns,2,s382,10454.0,10454.0
ipsns,2,s400,10329.0,10329.0
ipsns,2,s420,158.0,158.0
ipsns,2,s444,8547.0,8547.0
ipsns,2,s526,16261.0,16261.0
ipsns,2,s526n,14826.0,14826.0
ipsns,2,s5378,8013.0,8013.0
ipsns,2,s641,2403.0,2403.0
ipsns,2,s713,2339.0,2339.0
ipsns,2,s838,16098.0,16098.0
ipsns,2,s9234,29295.0,29295.0
ipsns,2,s953,6228.0,6228.0
ipsns,2,sample,40.0,40.0
ipsns,2,sbc,10094.0,10094.0
ipsns,2,small,0.0,0.0
ipsns,2,stg,5.0,5.0
ipsns,2,trace,2.0,2.0
drmaciver,2,bad,1.0,1.0
drmaciver,2,bad1,94.0,94.0
drmaciver,2,bad2,180.0,180.0
drmaciver,2,bad3,1519.0,1519.0
drmaciver,2,bad4,877.0,877.0
drmaciver,2,bad5,770.0,770.0
drmaciver,2,bad6,218.0,218.0
drmaciver,2,bad7,1791.547,1724.0
drmaciver,2,bigkey,349800.3825,349035.0
drmaciver,2,complete2,1.0,1.0
drmaciver,2,complete3,3.0,3.0
drmaciver,2,complete4,6.0,6.0
drmaciver,2,complete5,10.0,10.0
drmaciver,2,complete6,15.0,15.0
drmaciver,2,complete7,21.0,21.0
drmaciver,2,complete8,28.0,28.0
drmaciver,2,complete9,36.0,36.0
drmaciver,2,daio_receiver,122175.7135,121001.0
drmaciver,2,dene,2.0,2.0
drmaciver,2,dsip,210876.4445,207718.0
drmaciver,2,ecc,137115.241,135767.0
drmaciver,2,example,32229.71,32173.0
drmaciver,2,example-bad1,4494.0,4494.0
drmaciver,2,example-bad2,15205.0,15205.0
drmaciver,2,example-bad3,1165.0,1165.0
drmaciver,2,example-rev,118.0,118.0
drmaciver,2,example.new,18693.998,18638.0
drmaciver,2,good,1.0,1.0
drmaciver,2,gr-paper,5.0,5.0
drmaciver,2,gr0,6410.0,6410.0
drmaciver,2,gr1,15969.0,15969.0
drmaciver,2,gr1-acyclic,0.0,0.0
drmaciver,2,gr10,58980.9705,58481.0
drmaciver,2,gr11,12414.0,12414.0
drmaciver,2,gr11d,12414.0,12414.0
drmaciver,2,gr12,2133.0,2133.0
drmaciver,2,gr13,3987.0,3987.0
drmaciver,2,gr14,14651.0,14651.0
drmaciver,2,gr2,5118.0,5118.0
drmaciver,2,gr3,2252.0,2252.0
drmaciver,2,gr4,5118.0,5118.0
drmaciver,2,gr4-shift,5118.0,5118.0
drmaciver,2,gr4-shift2,5118.0,5118.0
drmaciver,2,gr5,5118.0,5118.0
drmaciver,2,gr6,14097.0,14097.0
drmaciver,2,gr8,5118.0,5118.0
drmaciver,2,gr9,6120.0,6120.0
drmaciver,2,green,57.0,57.0
drmaciver,2,green3,11.0,11.0
drmaciver,2,green3nonzero,12.0,12.0
drmaciver,2,green4,34.0,34.0
drmaciver,2,grid,41940.71,35305.0
drmaciver,2,howard-min,11.0,11.0
drmaciver,2,mm30a,121636.983,119009.0
drmaciver,2,mm4a,11696.9845,11851.0
drmaciver,2,mm9a,46085.521,45201.0
drmaciver,2,mm9b,54412.9605,53263.0
drmaciver,2,mult16a,27928.699,27970.0
drmaciver,2,mult16b,27684.083,26578.0
drmaciver,2,mult32a,64801.771,62841.0
drmaciver,2,parker1986,250349.737,245731.0
drmaciver,2,phase_decoder,88954.8215,87132.0
drmaciver,2,present,40.0,40.0
drmaciver,2,r1000,5234.7915,5231.0
drmaciver,2,r20_60,1691.406,1685.0
drmaciver,2,rd_1024_2048_1,688995.5915,688320.0
drmaciver,2,rd_10_30_1997,38091.0,38091.0
drmaciver,2,rd_4_4_90,807.0,807.0
drmaciver,2,rd_4_8_90,7842.0,7842.0
drmaciver,2,rd_5_10_90,6343.0,6343.0
drmaciver,2,rd_big,1566333.075,1577959.0
drmaciver,2,s1423,96178.5425,96570.0
drmaciver,2,s208,5021.292,5613.0
drmaciver,2,s27,2623.6995,2090.0
drmaciver,2,s344,15470.5395,14809.0
drmaciver,2,s349,15581.122,14806.0
drmaciver,2,s382,20746.599,20116.0
drmaciver,2,s400,19838.7575,19076.0
drmaciver,2,s420,493.1415,580.0
drmaciver,2,s444,19810.484,19958.0
drmaciver,2,s526,23995.0835,24358.0
drmaciver,2,s526n,25091.588,25419.0
drmaciver,2,s5378,130636.257,125685.0
drmaciver,2,s641,17498.5295,17927.0
drmaciver,2,s713,18624.7435,17591.0
drmaciver,2,s838,34338.297,34163.0
drmaciver,2,s9234,120447.169,122612.0
drmaciver,2,s953,39638.3465,38145.0
drmaciver,2,sample,40.0,40.0
drmaciver,2,sbc,65515.4215,66101.0
drmaciver,2,small,0.0,0.0
drmaciver,2,stg,5.0,5.0
drmaciver,2,trace,2.0,2.0
ipsns,5,bad,1.0,1.0
ipsns,5,bad1,94.0,94.0
ipsns,5,bad2,180.0,180.0
ipsns,5,bad3,1519.0,1519.0
ipsns,5,bad4,877.0,877.0
ipsns,5,bad5,770.0,770.0
ipsns,5,bad6,218.0,218.0
ipsns,5,bad7,1724.0,1724.0
ipsns,5,bigkey,346181.0,346181.0
ipsns,5,complete2,1.0,1.0
ipsns,5,complete3,3.0,3.0
ipsns,5,complete4,6.0,6.0
ipsns,5,complete5,10.0,10.0
ipsns,5,complete6,15.0,15.0
ipsns,5,complete7,21.0,21.0
ipsns,5,complete8,28.0,28.0
ipsns,5,complete9,36.0,36.0
ipsns,5,daio_receiver,63398.0,63398.0
ipsns,5,dene,2.0,2.0
ipsns,5,dsip,62462.0,62462.0
ipsns,5,ecc,96836.0,96836.0
ipsns,5,example,32173.0,32173.0
ipsns,5,example-bad1,4494.0,4494.0
ipsns,5,example-bad2,15205.0,15205.0
ipsns,5,example-bad3,1165.0,1165.0
ipsns,5,example-rev,118.0,118.0
ipsns,5,example.new,18638.0,18638.0
ipsns,5,good,1.0,1.0
ipsns,5,gr-paper,5.0,5.0
ipsns,5,gr0,6410.0,6410.0
ipsns,5,gr1,15969.0,15969.0
ipsns,5,gr1-acyclic,0.0,0.0
ipsns,5,gr10,58481.0,58481.0
ipsns,5,gr11,12414.0,12414.0
ipsns,5,gr11d,12414.0,12414.0
ipsns,5,gr12,2133.0,2133.0
ipsns,5,gr13,3987.0,3987.0
ipsns,5,gr14,14651.0,14651.0
ipsns,5,gr2,5118.0,5118.0
ipsns,5,gr3,2252.0,2252.0
ipsns,5,gr4,5118.0,5118.0
ipsns,5,gr4-shift,5118.0,5118.0
ipsns,5,gr4-shift2,5118.0,5118.0
ipsns,5,gr5,5118.0,5118.0
ipsns,5,gr6,14097.0,14097.0
ipsns,5,gr8,5118.0,5118.0
ipsns,5,gr9,6120.0,6120.0
ipsns,5,green,57.0,57.0
ipsns,5,green3,11.0,11.0
ipsns,5,green3nonzero,12.0,12.0
ipsns,5,green4,34.0,34.0
ipsns,5,grid,32954.0,32954.0
ipsns,5,howard-min,11.0,11.0
ipsns,5,mm30a,16351.0,16351.0
ipsns,5,mm4a,4053.0,4053.0
ipsns,5,mm9a,9542.0,9542.0
ipsns,5,mm9b,8278.0,8278.0
ipsns,5,mult16a,14348.0,14348.0
ipsns,5,mult16b,16618.0,16618.0
ipsns,5,mult32a,40635.0,40635.0
ipsns,5,parker1986,122961.0,122961.0
ipsns,5,phase_decoder,46676.0,46676.0
ipsns,5,present,40.0,40.0
ipsns,5,r1000,4055.0,4055.0
ipsns,5,r20_60,1688.0,1688.0
ipsns,5,rd_1024_2048_1,285351.0,285351.0
ipsns,5,rd_10_30_1997,38091.0,38091.0
ipsns,5,rd_4_4_90,807.0,807.0
ipsns,5,rd_4_8_90,7842.0,7842.0
ipsns,5,rd_5_10_90,6343.0,6343.0
ipsns,5,rd_big,1061050.0,1061050.0
ipsns,5,s1423,55340.0,55340.0
ipsns,5,s208,2829.0,2829.0
ipsns,5,s27,1905.0,1905.0
ipsns,5,s344,6001.0,6001.0
ipsns,5,s349,6729.0,6729.0
ipsns,5,s382,10454.0,10454.0
ipsns,5,s400,10329.0,10329.0
ipsns,5,s420,158.0,158.0
ipsns,5,s444,8547.0,8547.0
ipsns,5,s526,16261.0,16261.0
ipsns,5,s526n,14826.0,14826.0
ipsns,5,s5378,8013.0,8013.0
ipsns,5,s641,2403.0,2403.0
ipsns,5,s713,2339.0,2339.0
ipsns,5,s838,16098.0,16098.0
ipsns,5,s9234,29295.0,29295.0
ipsns,5,s953,6228.0,6228.0
ipsns,5,sample,40.0,40.0
ipsns,5,sbc,10094.0,10094.0
ipsns,5,small,0.0,0.0
ipsns,5,stg,5.0,5.0
ipsns,5,trace,2.0,2.0
drmaciver,5,bad,1.0,1.0
drmaciver,5,bad1,94.0,94.0
drmaciver,5,bad2,180.0,180.0
drmaciver,5,bad3,1519.0,1519.0
drmaciver,5,bad4,877.0,877.0
drmaciver,5,bad5,770.0,770.0
drmaciver,5,bad6,218.0,218.0
drmaciver,5,bad7,1726.7915,1724.0
drmaciver,5,bigkey,348724.4015,348676.0
drmaciver,5,complete2,1.0,1.0
drmaciver,5,complete3,3.0,3.0
drmaciver,5,complete4,6.0,6.0
drmaciver,5,complete5,10.0,10.0
drmaciver,5,complete6,15.0,15.0
drmaciver,5,complete7,21.0,21.0
drmaciver,5,complete8,28.0,28.0
drmaciver,5,complete9,36.0,36.0
drmaciver,5,daio_receiver,114962.34,114599.0
drmaciver,5,dene,2.0,2.0
drmaciver,5,dsip,200920.002,200874.0
drmaciver,5,ecc,133591.008,134283.0
drmaciver,5,example,32173.795,32173.0
drmaciver,5,example-bad1,4494.0,4494.0
drmaciver,5,example-bad2,15205.0,15205.0
drmaciver,5,example-bad3,1165.0,1165.0
drmaciver,5,example-rev,118.0,118.0
drmaciver,5,example.new,18638.0,18638.0
drmaciver,5,good,1.0,1.0
drmaciver,5,gr-paper,5.0,5.0
drmaciver,5,gr0,6410.0,6410.0
drmaciver,5,gr1,15969.0,15969.0
drmaciver,5,gr1-acyclic,0.0,0.0
drmaciver,5,gr10,58508.0175,58481.0
drmaciver,5,gr11,12414.0,12414.0
drmaciver,5,gr11d,12414.0,12414.0
drmaciver,5,gr12,2133.0,2133.0
drmaciver,5,gr13,3987.0,3987.0
drmaciver,5,gr14,14651.0,14651.0
drmaciver,5,gr2,5118.0,5118.0
drmaciver,5,gr3,2252.0,2252.0
drmaciver,5,gr4,5118.0,5118.0
drmaciver,5,gr4-shift,5118.0,5118.0
drmaciver,5,gr4-shift2,5118.0,5118.0
drmaciver,5,gr5,5118.0,5118.0
drmaciver,5,gr6,14097.0,14097.0
drmaciver,5,gr8,5118.0,5118.0
drmaciver,5,gr9,6120.0,6120.0
drmaciver,5,green,57.0,57.0
drmaciver,5,green3,11.0,11.0
drmaciver,5,green3nonzero,12.0,12.0
drmaciver,5,green4,34.0,34.0
drmaciver,5,grid,34141.1425,33016.0
drmaciver,5,howard-min,11.0,11.0
drmaciver,5,mm30a,110370.0695,114097.0
drmaciver,5,mm4a,10820.5595,10826.0
drmaciver,5,mm9a,42060.4575,41558.0
drmaciver,5,mm9b,49377.4935,49430.0
drmaciver,5,mult16a,25528.157,26644.0
drmaciver,5,mult16b,24613.1885,25403.0
drmaciver,5,mult32a,60259.7225,60883.0
drmaciver,5,parker1986,242364.2735,241766.0
drmaciver,5,phase_decoder,80765.044,81179.0
drmaciver,5,present,40.0,40.0
drmaciver,5,r1000,5137.591,5191.0
drmaciver,5,r20_60,1685.361,1685.0
drmaciver,5,rd_1024_2048_1,672178.521,673654.0
drmaciver,5,rd_10_30_1997,38091.0,38091.0
drmaciver,5,rd_4_4_90,807.0,807.0
drmaciver,5,rd_4_8_90,7842.0,7842.0
drmaciver,5,rd_5_10_90,6343.0,6343.0
drmaciver,5,rd_big,1524789.397,1518870.0
drmaciver,5,s1423,92236.2405,93276.0
drmaciver,5,s208,4247.983,4263.0
drmaciver,5,s27,2050.7075,1905.0
drmaciver,5,s344,13631.5665,13137.0
drmaciver,5,s349,13792.9965,13135.0
drmaciver,5,s382,18198.836,17813.0
drmaciver,5,s400,18292.5975,17613.0
drmaciver,5,s420,248.6465,158.0
drmaciver,5,s444,17022.0165,17329.0
drmaciver,5,s526,21779.6205,22024.0
drmaciver,5,s526n,22819.523,23806.0
drmaciver,5,s5378,122225.285,120257.0
drmaciver,5,s641,15777.7495,15645.0
drmaciver,5,s713,16230.1345,16616.0
drmaciver,5,s838,32785.211,32692.0
drmaciver,5,s9234,112334.3005,110960.0
drmaciver,5,s953,35248.3185,35614.0
drmaciver,5,sample,40.0,40.0
drmaciver,5,sbc,58900.346,62277.0
drmaciver,5,small,0.0,0.0
drmaciver,5,stg,5.0,5.0
drmaciver,5,trace,2.0,2.0
ipsns,10,bad,1.0,1.0
ipsns,10,bad1,94.0,94.0
ipsns,10,bad2,180.0,180.0
ipsns,10,bad3,1519.0,1519.0
ipsns,10,bad4,877.0,877.0
ipsns,10,bad5,770.0,770.0
ipsns,10,bad6,218.0,218.0
ipsns,10,bad7,1724.0,1724.0
ipsns,10,bigkey,346181.0,346181.0
ipsns,10,complete2,1.0,1.0
ipsns,10,complete3,3.0,3.0
ipsns,10,complete4,6.0,6.0
ipsns,10,complete5,10.0,10.0
ipsns,10,complete6,15.0,15.0
ipsns,10,complete7,21.0,21.0
ipsns,10,complete8,28.0,28.0
ipsns,10,complete9,36.0,36.0
ipsns,10,daio_receiver,63398.0,63398.0
ipsns,10,dene,2.0,2.0
ipsns,10,dsip,62462.0,62462.0
ipsns,10,ecc,96836.0,96836.0
ipsns,10,example,32173.0,32173.0
ipsns,10,example-bad1,4494.0,4494.0
ipsns,10,example-bad2,15205.0,15205.0
ipsns,10,example-bad3,1165.0,1165.0
ipsns,10,example-rev,118.0,118.0
ipsns,10,example.new,18638.0,18638.0
ipsns,10,good,1.0,1.0
ipsns,10,gr-paper,5.0,5.0
ipsns,10,gr0,6410.0,6410.0
ipsns,10,gr1,15969.0,15969.0
ipsns,10,gr1-acyclic,0.0,0.0
ipsns,10,gr10,58481.0,58481.0
ipsns,10,gr11,12414.0,12414.0
ipsns,10,gr11d,12414.0,12414.0
ipsns,10,gr12,2133.0,2133.0
ipsns,10,gr13,3987.0,3987.0
ipsns,10,gr14,14651.0,14651.0
ipsns,10,gr2,5118.0,5118.0
ipsns,10,gr3,2252.0,2252.0
ipsns,10,gr4,5118.0,5118.0
ipsns,10,gr4-shift,5118.0,5118.0
ipsns,10,gr4-shift2,5118.0,5118.0
ipsns,10,gr5,5118.0,5118.0
ipsns,10,gr6,14097.0,14097.0
ipsns,10,gr8,5118.0,5118.0
ipsns,10,gr9,6120.0,6120.0
ipsns,10,green,57.0,57.0
ipsns,10,green3,11.0,11.0
ipsns,10,green3nonzero,12.0,12.0
ipsns,10,green4,34.0,34.0
ipsns,10,grid,32954.0,32954.0
ipsns,10,howard-min,11.0,11.0
ipsns,10,mm30a,16351.0,16351.0
ipsns,10,mm4a,4053.0,4053.0
ipsns,10,mm9a,9542.0,9542.0
ipsns,10,mm9b,8278.0,8278.0
ipsns,10,mult16a,14348.0,14348.0
ipsns,10,mult16b,16618.0,16618.0
ipsns,10,mult32a,40635.0,40635.0
ipsns,10,parker1986,122961.0,122961.0
ipsns,10,phase_decoder,46676.0,46676.0
ipsns,10,present,40.0,40.0
ipsns,10,r1000,4055.0,4055.0
ipsns,10,r20_60,1688.0,1688.0
ipsns,10,rd_1024_2048_1,285351.0,285351.0
ipsns,10,rd_10_30_1997,38091.0,38091.0
ipsns,10,rd_4_4_90,807.0,807.0
ipsns,10,rd_4_8_90,7842.0,7842.0
ipsns,10,rd_5_10_90,6343.0,6343.0
ipsns,10,rd_big,1061050.0,1061050.0
ipsns,10,s1423,55340.0,55340.0
ipsns,10,s208,2829.0,2829.0
ipsns,10,s27,1905.0,1905.0
ipsns,10,s344,6001.0,6001.0
ipsns,10,s349,6729.0,6729.0
ipsns,10,s382,10454.0,10454.0
ipsns,10,s400,10329.0,10329.0
ipsns,10,s420,158.0,158.0
ipsns,10,s444,8547.0,8547.0
ipsns,10,s526,16261.0,16261.0
ipsns,10,s526n,14826.0,14826.0
ipsns,10,s5378,8013.0,8013.0
ipsns,10,s641,2403.0,2403.0
ipsns,10,s713,2339.0,2339.0
ipsns,10,s838,16098.0,16098.0
ipsns,10,s9234,29295.0,29295.0
ipsns,10,s953,6228.0,6228.0
ipsns,10,sample,40.0,40.0
ipsns,10,sbc,10094.0,10094.0
ipsns,10,small,0.0,0.0
ipsns,10,stg,5.0,5.0
ipsns,10,trace,2.0,2.0
drmaciver,10,bad,1.0,1.0
drmaciver,10,bad1,94.0,94.0
drmaciver,10,bad2,180.0,180.0
