algorithm,k,instance_id,expected_best_k,median_best_k
ipsns,1,bad,1.0,1.0
ipsns,1,bad1,94.0,94.0
ipsns,1,bad2,180.0,180.0
ipsns,1,bad3,1519.0,1519.0
ipsns,1,bad4,877.0,877.0
ipsns,1,bad5,770.0,770.0
ipsns,1,bad6,218.0,218.0
ipsns,1,bad7,1724.0,1724.0
ipsns,1,bigkey,346181.0,346181.0
ipsns,1,complete2,1.0,1.0
ipsns,1,complete3,3.0,3.0
ipsns,1,complete4,6.0,6.0
ipsns,1,complete5,10.0,10.0
ipsns,1,complete6,15.0,15.0
ipsns,1,complete7,21.0,21.0
ipsns,1,complete8,28.0,28.0
ipsns,1,complete9,36.0,36.0
ipsns,1,daio_receiver,63398.0,63398.0
ipsns,1,dene,2.0,2.0
ipsns,1,dsip,62462.0,62462.0
ipsns,1,ecc,96836.0,96836.0
ipsns,1,example,32173.0,32173.0
ipsns,1,example-bad1,4494.0,4494.0
ipsns,1,example-bad2,15205.0,15205.0
ipsns,1,example-bad3,1165.0,1165.0
ipsns,1,example-rev,118.0,118.0
ipsns,1,example.new,18638.0,18638.0
ipsns,1,good,1.0,1.0
ipsns,1,gr-paper,5.0,5.0
ipsns,1,gr0,6410.0,6410.0
ipsns,1,gr1,15969.0,15969.0
ipsns,1,gr1-acyclic,0.0,0.0
ipsns,1,gr10,58481.0,58481.0
ipsns,1,gr11,12414.0,12414.0
ipsns,1,gr11d,12414.0,12414.0
ipsns,1,gr12,2133.0,2133.0
ipsns,1,gr13,3987.0,3987.0
ipsns,1,gr14,14651.0,14651.0
ipsns,1,gr2,5118.0,5118.0
ipsns,1,gr3,2252.0,2252.0
ipsns,1,gr4,5118.0,5118.0
ipsns,1,gr4-shift,5118.0,5118.0
ipsns,1,gr4-shift2,5118.0,5118.0
ipsns,1,gr5,5118.0,5118.0
ipsns,1,gr6,14097.0,14097.0
ipsns,1,gr8,5118.0,5118.0
ipsns,1,gr9,6120.0,6120.0
ipsns,1,green,57.0,57.0
ipsns,1,green3,11.0,11.0
ipsns,1,green3nonzero,12.0,12.0
ipsns,1,green4,34.0,34.0
ipsns,1,grid,32954.0,32954.0
ipsns,1,howard-min,11.0,11.0
ipsns,1,mm30a,16351.0,16351.0
ipsns,1,mm4a,4053.0,4053.0
ipsns,1,mm9a,9542.0,9542.0
ipsns,1,mm9b,8278.0,8278.0
ipsns,1,mult16a,14348.0,14348.0
ipsns,1,mult16b,16618.0,16618.0
ipsns,1,mult32a,40635.0,40635.0
ipsns,1,parker1986,122961.0,122961.0
ipsns,1,phase_decoder,46676.0,46676.0
ipsns,1,present,40.0,40.0
ipsns,1,r1000,4055.0,4055.0
ipsns,1,r20_60,1688.0,1688.0
ipsns,1,rd_1024_2048_1,285351.0,285351.0
ipsns,1,rd_10_30_1997,38091.0,38091.0
ipsns,1,rd_4_4_90,807.0,807.0
ipsns,1,rd_4_8_90,7842.0,7842.0
ipsns,1,rd_5_10_90,6343.0,6343.0
ipsns,1,rd_big,1061050.0,1061050.0
ipsns,1,s1423,55340.0,55340.0
ipsns,1,s208,2829.0,2829.0
ipsns,1,s27,1905.0,1905.0
ipsns,1,s344,6001.0,6001.0
ipsns,1,s349,6729.0,6729.0
ipsns,1,s382,10454.0,10454.0
ipsns,1,s400,10329.0,10329.0
ipsns,1,s420,158.0,158.0
