instance,method,seed_method,budget_label,n,m,total_weight,seed_bw,backward_weight,improvement_over_seed,runtime_seconds,seed_runtime_seconds,ls_runtime_seconds,accepted_moves,passes_completed,stopped_reason,status,error
bad1,lrta_adj_swap_ls,lrta,max_passes=20,13,14,21821.0,94.0,94.0,0.0,5.1e-05,4.7e-05,4e-06,0,1,local_optimum,ok,
bad1,lrta_insert_ls,lrta,max_moves=200;time=60.0s,13,14,21821.0,94.0,94.0,0.0,6.9e-05,4.7e-05,2.2e-05,0,1,local_optimum,ok,
bad1,bestseed_insert_ls,wmsf,max_moves=200;time=60.0s,13,14,21821.0,94.0,94.0,0.0,0.000204,0.000184,1.9e-05,0,1,local_optimum,ok,
bad7,lrta_adj_swap_ls,lrta,max_passes=20,19,21,34295.0,1724.0,1724.0,0.0,5.4e-05,5e-05,4e-06,0,1,local_optimum,ok,
bad7,lrta_insert_ls,lrta,max_moves=200;time=60.0s,19,21,34295.0,1724.0,1724.0,0.0,8.9e-05,5e-05,3.9e-05,0,1,local_optimum,ok,
bad7,bestseed_insert_ls,wmsf,max_moves=200;time=60.0s,19,21,34295.0,1724.0,1724.0,0.0,0.000243,0.000203,4e-05,0,1,local_optimum,ok,
dsip,lrta_adj_swap_ls,lrta,max_passes=20,4079,6602,9943041.0,66206.0,66206.0,0.0,0.078917,0.078357,0.00056,0,1,local_optimum,ok,
dsip,lrta_insert_ls,lrta,max_moves=200;time=60.0s,4079,6602,9943041.0,66206.0,66206.0,0.0,1.484006,0.078357,1.405649,0,1,local_optimum,ok,
dsip,bestseed_insert_ls,wmsf,max_moves=200;time=60.0s,4079,6602,9943041.0,64094.0,64094.0,0.0,2.164514,0.787658,1.376857,0,1,local_optimum,ok,
example.new,lrta_adj_swap_ls,lrta,max_passes=20,18,27,150341.0,18638.0,18638.0,0.0,7.6e-05,7.2e-05,4e-06,0,1,local_optimum,ok,
example.new,lrta_insert_ls,lrta,max_moves=200;time=60.0s,18,27,150341.0,18638.0,18638.0,0.0,0.000104,7.2e-05,3.2e-05,0,1,local_optimum,ok,
