citation_key,type,authors,title,venue,year,doi,manuscript_cited,flags
BYGR98,article,"Bar-Yehuda, Reuven and Geiger, Dan and Naor, Joseph (Seffi) and Roth, Ron M.",Approximation Algorithms for the Feedback Vertex Set Problem with Applications to Constraint Satisfaction and Bayesian Inference,SIAM Journal on Computing,1998,10.1137/S0097539796305109,yes,
DF03,article,"Demetrescu, Camil and Finocchi, Irene",Combinatorial Algorithms for Feedback Problems in Directed Graphs,Information Processing Letters,2003,10.1016/S0020-0190(02)00491-X,yes,
ELS93,article,"Eades, Peter and Lin, Xuemin and Smyth, W. F.",A Fast and Effective Heuristic for the Feedback Arc Set Problem,Information Processing Letters,1993,10.1016/0020-0190(93)90079-O,yes,
LC66,article,"Lempel, A. and Cederbaum, I.",Minimum Feedback Arc and Vertex Sets of a Directed Graph,IEEE Transactions on Circuit Theory,1966,10.1109/TCT.1966.1082620,yes,
EL95,article,"Eades, Peter and Lin, Xuemin",A Heuristic for the Feedback Arc Set Problem,Australasian Journal of Combinatorics,1995,,yes,
BSNA21,article,"Baharev, Ali and Schichl, Hermann and Neumaier, Arnold and Achterberg, Tobias",An Exact Method for the Minimum Feedback Arc Set Problem,ACM Journal of Experimental Algorithmics,2021,10.1145/3446429,yes,
SST16,article,"Simpson, Michael and Srinivasan, Venkatesh and Thomo, Alex",Efficient Computation of Feedback Arc Set at Web-Scale,Proceedings of the VLDB Endowment,2016,10.14778/3021924.3021930,yes,
graph_benchmarks_repo,misc,{Ali Dasdan,graph-benchmarks: Directed Graph Benchmarks in DIMACS Graph Format,\url{https://github.com/alidasdan/graph-benchmarks,2026,,yes,misc_no_doi
lolib_library,misc,"Marti, Rafael",LOLIB: Linear Ordering Problem Library,\url{https://www.uv.es/~rmarti/paper/lop.html,2010,,yes,misc_no_doi
MRD12,article,"Marti, Rafael and Reinelt, Gerhard and Duarte, Abraham",A Benchmark Library and a Comparison of Heuristic Methods for the Linear Ordering Problem,Computational Optimization and Applications,2012,10.1007/s10589-010-9384-9,yes,
python_igraph_feedback_arc_set,misc,{python-igraph developers,python-igraph documentation: \texttt{Graph.feedback\_arc\_set,\url{https://python.igraph.org/en/stable/api/igraph.Graph.html,2026,,yes,misc_no_doi
drmaciver_feedback_arc_set,misc,{DRMacIver,Feedback-Arc-Set,\url{https://github.com/DRMacIver/Feedback-Arc-Set,2026,,yes,misc_no_doi
K72,incollection,"Karp, Richard M.",Reducibility among Combinatorial Problems,Complexity of Computer Computations,1972,10.1007/978-1-4684-2001-2_9,yes,
F90,article,"Flood, Merrill M.",Exact and Heuristic Algorithms for the Weighted Feedback Arc Set Problem: A Special Case of the Skew-Symmetric Quadratic Assignment Problem,Networks,1990,10.1002/net.3230200102,yes,
ENSS98,article,"Even, Guy and Naor, Joseph (Seffi) and Schieber, Baruch and Sudan, Madhu",Approximating Minimum Feedback Sets and Multicuts in Directed Graphs,Algorithmica,1998,10.1007/PL00009191,yes,
ACN08,article,"Ailon, Nir and Charikar, Moses and Newman, Alantha",Aggregating Inconsistent Information: Ranking and Clustering,Journal of the {ACM,2008,10.1145/1411509.1411513,yes,
CFR10,article,"Coppersmith, Don and Fleischer, Lisa K. and Rurda, Atri",Ordering by Weighted Number of Wins Gives a Good Ranking for Weighted Tournaments,ACM Transactions on Algorithms,2010,10.1145/1798596.1798608,yes,
HGH21,article,"Hecht, Michael and Gonciarz, Krzysztof and Horv{\'a",Tight Localizations of Feedback Sets,ACM Journal of Experimental Algorithmics,2021,10.1145/3447652,yes,
ALS09,inproceedings,"Alon, Noga and Lokshtanov, Daniel and Saurabh, Saket",Fast {FAST,"Automata, Languages and Programming",2009,,yes,
FLRS10,article,"Fomin, Fedor V. and Lokshtanov, Daniel and Raman, Venkatesh and Saurabh, Saket",Fast Local Search Algorithm for Weighted Feedback Arc Set in Tournaments,Proceedings of the AAAI Conference on Artificial Intelligence,2010,10.1609/aaai.v24i1.7557,yes,
BH13,inproceedings,"Brandenburg, Franz J. and Hanauer, Kathrin",Sorting Heuristics for the Feedback Arc Set Problem,WALCOM: Algorithms and Computation,2013,,yes,
CC25,inproceedings,"Cavallaro, C. and Cutello, V.",An Efficient Heuristic Algorithm to Compute Minimal and Stable Weighted Feedback Arc Sets,Proceedings of the International Conference on Software Engineering and Knowledge Engineering ({SEKE,2025,10.18293/SEKE2025-049,yes,
CCP24,article,"Cavallaro, Claudia and Cutello, Vincenzo and Pavone, Mario",Efficient Heuristics to Compute Minimal and Stable Feedback Arc Sets,Journal of Combinatorial Optimization,2024,10.1007/s10878-024-01209-8,yes,
OZ24,article,"Ostovari, Mojtaba and Zarei, Alireza",A Better {LP,Theoretical Computer Science,2024,10.1016/j.tcs.2024.114768,yes,
lop_ma_edm_repo,misc,{Carlos Segura,LOP\_MA-EDM: Memetic Algorithms with Explicit Diversity Management for the Linear Ordering Problem,\url{https://github.com/carlossegurag/LOP_MA-EDM,2026,,yes,misc_no_doi
GNNRank22,inproceedings,"He, Yixuan and Gan, Quan and Wipf, David and Reinert, Gesine D. and Yan, Junchi and Cucuringu, Mihai",GNNRank: Learning Global Rankings from Pairwise Comparisons via Directed Graph Neural Networks,Proceedings of the 39th International Conference on Machine Learning,2022,,yes,
LHK10WikiVote,inproceedings,"Leskovec, Jure and Huttenlocher, Daniel and Kleinberg, Jon",Predicting Positive and Negative Links in Online Social Networks,Proceedings of the 19th International Conference on World Wide Web,2010,10.1145/1772690.1772756,yes,
VahidiKoutis2024arxiv,misc,"Vahidi, Soroush and Koutis, Ioannis",Ranking from Pairwise Comparisons as Minimum Weighted Feedback Arc Set,,2024,10.48550/arXiv.2412.16181,yes,
HuangfuHall2018,article,"Huangfu, Qi and Hall, Julian",Parallelizing the Dual Revised Simplex Method,Mathematical Programming Computation,2018,10.1007/s12532-017-0130-5,yes,
