instance,method,rule,bw,w_F,gap,rel_improve_vs_current,error
bad1,lrta,current_min_id,94.0,94.0,0.0,0.0,
bad1,lrta,max_id,94.0,94.0,0.0,0.0,
bad1,lrta,weighted_net,94.0,94.0,0.0,0.0,
bad1,lrta,insertion_refine,94.0,94.0,0.0,0.0,
gr10,lrta,current_min_id,62435.0,62435.0,0.0,0.0,
gr10,lrta,max_id,62435.0,62435.0,0.0,0.0,
gr10,lrta,weighted_net,62435.0,62435.0,0.0,0.0,
gr10,lrta,insertion_refine,62435.0,62435.0,0.0,0.0,
s420,lrta,current_min_id,158.0,158.0,0.0,0.0,
s420,lrta,max_id,158.0,158.0,0.0,0.0,
s420,lrta,weighted_net,158.0,158.0,0.0,0.0,
s420,lrta,insertion_refine,158.0,158.0,0.0,0.0,
s349,lrta,current_min_id,6729.0,6729.0,0.0,0.0,
s349,lrta,max_id,6729.0,6729.0,0.0,0.0,
s349,lrta,weighted_net,6729.0,6729.0,0.0,0.0,
s349,lrta,insertion_refine,6729.0,6729.0,0.0,0.0,
s641,lrta,current_min_id,2403.0,2403.0,0.0,0.0,
s641,lrta,max_id,2403.0,2403.0,0.0,0.0,
s641,lrta,weighted_net,2403.0,2403.0,0.0,0.0,
s641,lrta,insertion_refine,2403.0,2403.0,0.0,0.0,
example.new,lrta,current_min_id,18638.0,18638.0,0.0,0.0,
example.new,lrta,max_id,18638.0,18638.0,0.0,0.0,
example.new,lrta,weighted_net,18638.0,18638.0,0.0,0.0,
example.new,lrta,insertion_refine,18638.0,18638.0,0.0,0.0,
