instance,family,n,m,total_weight,algorithm,backward_weight,forward_weight,forward_ratio,runtime,status,error,source_type,external_version_or_commit
N-sgb75_01,SGB,75,2511,3766702.0,lrta_full,1057054.0,2709648.0,0.7193688271596744,0.21703267097473145,ok,,in-repo,
N-sgb75_01,SGB,75,2511,3766702.0,wmsf_seed,1057054.0,2709648.0,0.7193688271596744,0.056107282638549805,ok,,in-repo,
N-sgb75_01,SGB,75,2511,3766702.0,ipsns_full,1057054.0,2709648.0,0.7193688271596744,7.060009717941284,ok,,in-repo,
N-sgb75_01,SGB,75,2511,3766702.0,borda_net_score,2001124.0,1765578.0,0.46873312515829496,0.0025124549865722656,ok,,in-repo,
N-sgb75_01,SGB,75,2511,3766702.0,weighted_eades,1228495.0,2538207.0,0.6738539443789289,0.0030515193939208984,ok,,in-repo,
N-sgb75_01,SGB,75,2511,3766702.0,random_multistart,1487353.0,2279349.0,0.6051312262026569,0.011334657669067383,ok,,in-repo,
N-sgb75_01,SGB,75,2511,3766702.0,igraph_approx_eades,1210343.0,2556359.0,0.6786730142177427,0.1815803050994873,ok,,external-wrapper,python-igraph==1.0.0
N-sgb75_01,SGB,75,2511,3766702.0,drmaciver_fas,1051445.0,2715257.0,0.7208579282353634,0.9340298175811768,ok,,external-wrapper,16ff24a92fde886e58819180a9fe686e60991c5c
N-sgb75_02,SGB,75,2469,3582232.0,lrta_full,978078.0,2604154.0,0.7269640827283101,0.03549695014953613,ok,,in-repo,
N-sgb75_02,SGB,75,2469,3582232.0,wmsf_seed,978078.0,2604154.0,0.7269640827283101,0.058594703674316406,ok,,in-repo,
N-sgb75_02,SGB,75,2469,3582232.0,ipsns_full,972272.0,2609960.0,0.7285848599420697,7.151538610458374,ok,,in-repo,
N-sgb75_02,SGB,75,2469,3582232.0,borda_net_score,1829377.0,1752855.0,0.4893192289053305,0.0024340152740478516,ok,,in-repo,
N-sgb75_02,SGB,75,2469,3582232.0,weighted_eades,1154933.0,2427299.0,0.6775940251775988,0.0029909610748291016,ok,,in-repo,
N-sgb75_02,SGB,75,2469,3582232.0,random_multistart,1517644.0,2064588.0,0.5763412308303874,0.0113677978515625,ok,,in-repo,
