instance_name,bw_borda_net_score,bw_drmaciver_fas,bw_igraph_approx_eades,bw_ipsns_full,bw_lrta_full,bw_random_multistart,bw_weighted_eades,bw_wmsf_seed,rt_borda_net_score,rt_drmaciver_fas,rt_igraph_approx_eades,rt_ipsns_full,rt_lrta_full,rt_random_multistart,rt_weighted_eades,rt_wmsf_seed
gr1-acyclic,4266.0,0.0,0.0,0.0,0.0,16104.0,0.0,0.0,0.0010643005371093,0.0113341808319091,0.0016486644744873,0.0012226104736328,0.0018606185913085,0.0020816326141357,0.001244306564331,0.0016844272613525
gr10,107411.0,59093.0,65061.0,58481.0,62435.0,160630.0,65061.0,58481.0,0.0004997253417968,0.5688719749450684,0.0005669593811035,0.016892671585083,0.001579999923706,0.0014765262603759,0.0006024837493896,0.0012197494506835
gr11,12414.0,12414.0,12414.0,12414.0,12414.0,12414.0,12414.0,12414.0,0.0004167556762695,0.001434326171875,0.0004427433013916,0.0043404102325439,0.0005929470062255,0.0004932880401611,0.0004310607910156,0.0004847049713134
gr11d,12414.0,12414.0,12414.0,12414.0,12414.0,12414.0,12414.0,12414.0,0.0004007816314697,0.001882791519165,0.0004518032073974,0.0042662620544433,0.000417947769165,0.0004701614379882,0.0004103183746337,0.0004534721374511
gr12,8038.0,2133.0,2133.0,2133.0,2133.0,2133.0,2133.0,2133.0,0.0004091262817382,0.0018610954284667,0.0004169940948486,0.0078563690185546,0.0007390975952148,0.0005214214324951,0.0004115104675292,0.0008590221405029
gr13,11085.0,3987.0,3987.0,3987.0,3987.0,3987.0,3987.0,3987.0,0.0005440711975097,0.0018255710601806,0.0004818439483642,0.010312795639038,0.000779390335083,0.0005977153778076,0.0005149841308593,0.0008645057678222
gr14,14651.0,14651.0,14651.0,14651.0,14651.0,14651.0,14651.0,14651.0,0.0005345344543457,0.0023696422576904,0.0004148483276367,0.0049946308135986,0.0004937648773193,0.0004575252532958,0.0004148483276367,0.0004909038543701
gr2,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,0.0003838539123535,0.0016686916351318,0.0003979206085205,0.0033469200134277,0.0004215240478515,0.0004281997680664,0.0003879070281982,0.0004513263702392
gr3,7370.0,2252.0,5118.0,2252.0,2252.0,2252.0,5118.0,2252.0,0.0003964900970458,0.0019392967224121,0.0004186630249023,0.0063436031341552,0.0007879734039306,0.0004591941833496,0.0003809928894042,0.0008816719055175
gr4,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,0.0004019737243652,0.0017666816711425,0.0004277229309082,0.0049936771392822,0.0008478164672851,0.0004925727844238,0.0003943443298339,0.0008165836334228
gr4-shift,7370.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,0.0006942749023437,0.0022666454315185,0.0005755424499511,0.0148274898529052,0.0014798641204833,0.0006940364837646,0.0006232261657714,0.0020136833190917
gr4-shift2,7370.0,5118.0,5118.0,5118.0,5118.0,5118.0,7370.0,5118.0,0.0007979869842529,0.0044116973876953,0.0009398460388183,0.0102465152740478,0.0007500648498535,0.0010173320770263,0.0008049011230468,0.0008530616760253
gr5,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,0.0003845691680908,0.0023760795593261,0.0004029273986816,0.0061841011047363,0.0006558895111083,0.0004723072052001,0.0004053115844726,0.0006639957427978
gr6,19360.0,14097.0,14666.0,14097.0,14097.0,14097.0,14666.0,14666.0,0.0006453990936279,0.0021886825561523,0.0005121231079101,0.0113024711608886,0.001899242401123,0.0006663799285888,0.0006062984466552,0.0025031566619873
gr7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0001993179321289,,0.0002615451812744,0.0002610683441162,0.0004298686981201,0.0002477169036865,0.0001900196075439,0.0002360343933105
gr8,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,0.0009207725524902,0.0038437843322753,0.0008778572082519,0.0009303092956542,0.0008535385131835,0.001127004623413,0.0012731552124023,0.0008225440979003
gr9,15329.0,6120.0,6120.0,6120.0,6120.0,8231.0,6120.0,6120.0,0.0005044937133789,0.0031492710113525,0.0004501342773437,0.0221190452575683,0.0023910999298095,0.0006320476531982,0.0004804134368896,0.0031025409698486
green,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,0.0004022121429443,0.0018332004547119,0.000432014465332,0.0114500522613525,0.0004401206970214,0.0005297660827636,0.0003941059112548,0.000535249710083
green3,11.0,11.0,14.0,11.0,11.0,11.0,11.0,11.0,0.000380516052246,0.0017707347869873,0.0004053115844726,0.0071325302124023,0.0005838871002197,0.0004703998565673,0.0003936290740966,0.0005767345428466
green3nonzero,12.0,12.0,15.0,12.0,12.0,12.0,12.0,12.0,0.0004127025604248,0.0014886856079101,0.0003933906555175,0.0108034610748291,0.0007739067077636,0.0004796981811523,0.00038743019104,0.0008697509765625
green4,34.0,34.0,39.0,34.0,34.0,34.0,34.0,34.0,0.0003995895385742,0.001479148864746,0.0004022121429443,0.010176658630371,0.0004370212554931,0.0005149841308593,0.0003986358642578,0.0005209445953369
grid,1816413.0,58787.0,510323.0,32954.0,32957.0,2645056.0,540843.0,33294.0,0.0039641857147216,6.26163387298584,0.0048425197601318,0.4380638599395752,0.1351232528686523,0.0331668853759765,0.0381405353546142,0.0256786346435546
howard-max,-28.0,-28.0,-17.0,-18.0,-18.0,-28.0,,-18.0,0.0007054805755615,0.0015347003936767,0.0007567405700683,0.0008068084716796,0.0007500648498535,0.0008647441864013,,0.000772476196289
howard-min,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0003952980041503,0.0013811588287353,0.0003993511199951,0.0057392120361328,0.0004289150238037,0.0004818439483642,0.0003886222839355,0.0004303455352783
k3_3,2338.0,-2221.0,-1000.0,-1234.0,-1234.0,-2221.0,,-1234.0,0.0003740787506103,0.0018234252929687,0.0004067420959472,0.0005426406860351,0.0004353523254394,0.0005457401275634,,0.0005092620849609
ku,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,,-6.0,0.0006797313690185,0.0024755001068115,0.0007805824279785,0.0008091926574707,0.000746726989746,0.000955581665039,,0.0007698535919189
mm30a,1136412.0,147702.0,29483.0,16351.0,16351.0,2596138.0,29483.0,17911.0,0.0058727264404296,17.630962371826172,0.0059173107147216,1.932847023010254,0.0262720584869384,0.0557925701141357,0.0176608562469482,0.0701117515563964
mm4a,99055.0,13020.0,14792.0,4053.0,4053.0,262677.0,14792.0,4478.0,0.00089693069458,1.444202184677124,0.0009751319885253,0.0779416561126709,0.0017178058624267,0.0045015811920166,0.0011773109436035,0.0020389556884765
mm9a,341704.0,38066.0,21874.0,9542.0,9688.0,762813.0,21874.0,10373.0,0.0019648075103759,3.917315006256104,0.0019996166229248,0.2960624694824219,0.0066509246826171,0.0181934833526611,0.0038893222808837,0.0074086189270019
mm9b,418300.0,48187.0,21421.0,8278.0,8278.0,955305.0,21421.0,8541.0,0.0026924610137939,4.97406268119812,0.0024583339691162,0.8342323303222656,0.0071675777435302,0.0219314098358154,0.0048408508300781,0.0236604213714599
mult16a,152102.0,27855.0,33492.0,14348.0,14348.0,363921.0,33492.0,14361.0,0.0012433528900146,2.310044288635254,0.0012500286102294,0.4719495773315429,0.0031454563140869,0.0071713924407958,0.0017611980438232,0.0081255435943603
mult16b,179432.0,24981.0,30027.0,16618.0,16618.0,363143.0,30027.0,16713.0,0.0011384487152099,2.3446950912475586,0.0012533664703369,0.0694108009338378,0.0025694370269775,0.0080342292785644,0.0021677017211914,0.0020828247070312
mult32a,305301.0,73405.0,74134.0,40635.0,40635.0,748341.0,74134.0,41070.0,0.002000093460083,3.5509328842163086,0.0019326210021972,2.318467855453491,0.0107028484344482,0.0169823169708251,0.0037043094635009,0.0342378616333007
parker1986,1438224.0,249968.0,325533.0,122961.0,123231.0,3263413.0,333206.0,125002.0,0.0079617500305175,31.36792278289795,0.0083696842193603,25.90927767753601,0.0877306461334228,0.0751142501831054,0.0497643947601318,1.4490699768066406
peterson,-2143.0,-4396.0,-2440.0,-332.0,-332.0,-2920.0,,-332.0,0.0005443096160888,0.002854585647583,0.0005109310150146,0.0008323192596435,0.0007781982421875,0.0008060932159423,,0.0008075237274169
peterson1,-2143.0,-4396.0,-2440.0,-332.0,-332.0,-2920.0,,-332.0,0.0007929801940917,0.00675630569458,0.0011589527130126,0.0010547637939453,0.0011842250823974,0.0014140605926513,,0.0013704299926757
peterson2,-1033.0,-5268.0,-1691.0,-1688.0,-1688.0,-1564.0,,-1688.0,0.0008234977722167,0.0042691230773925,0.0007026195526123,0.0012893676757812,0.0012521743774414,0.0011444091796875,,0.0013854503631591
phase_decoder,756983.0,82536.0,85752.0,46676.0,46676.0,2310773.0,87351.0,55166.0,0.004833698272705,12.461730003356934,0.0053949356079101,0.9787390232086182,0.0283939838409423,0.0466091632843017,0.0135009288787841,0.0475909709930419
present,70.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,0.000392198562622,0.0024261474609375,0.0004105567932128,0.0068092346191406,0.0004372596740722,0.0004835128784179,0.0003869533538818,0.0005061626434326
r1000,12394.0,5649.0,7140.0,4055.0,4375.0,19689.0,7495.0,4535.0,0.004784345626831,6.257203102111816,0.005643606185913,57.05948734283447,0.1500144004821777,0.0408744812011718,0.0327980518341064,0.3884749412536621
r20_60,3664.0,1685.0,2547.0,1688.0,1688.0,3293.0,2547.0,1766.0,0.0004684925079345,0.1674520969390869,0.0004987716674804,0.058068037033081,0.0022950172424316,0.0009710788726806,0.0005009174346923,0.0027399063110351
rd_1024_2048_1,2679487.0,713601.0,926106.0,285351.0,296189.0,4687367.0,971257.0,322617.0,0.0032687187194824,6.3649609088897705,0.0035967826843261,16.71441340446472,0.0505106449127197,0.0292470455169677,0.021477460861206,0.4337201118469238
rd_10_30_1997,63158.0,38091.0,39458.0,38091.0,38091.0,57584.0,41363.0,38091.0,0.0004358291625976,0.0029876232147216,0.0004730224609375,0.0159492492675781,0.000584602355957,0.0006740093231201,0.000457763671875,0.0006420612335205
rd_4_4_90,807.0,807.0,807.0,807.0,807.0,807.0,807.0,807.0,0.0003829002380371,0.001990795135498,0.0004353523254394,0.0049359798431396,0.0004503726959228,0.0004832744598388,0.0004122257232666,0.0004582405090332
rd_4_8_90,8649.0,7842.0,11205.0,7842.0,7842.0,7842.0,11205.0,7842.0,0.0005016326904296,0.0020232200622558,0.0004644393920898,0.0102519989013671,0.0007510185241699,0.0005624294281005,0.0004975795745849,0.0008234977722167
rd_5_10_90,16896.0,6343.0,6343.0,6343.0,6343.0,6343.0,6343.0,6343.0,0.0004289150238037,0.0019302368164062,0.0004572868347167,0.0082588195800781,0.000880479812622,0.0005576610565185,0.0004515647888183,0.0006980895996093
rd_big,4284108.0,1614481.0,2076676.0,1061050.0,1096757.0,7253591.0,2232857.0,1168443.0,0.004103660583496,6.256046533584595,0.0057291984558105,35.64498257637024,0.1148262023925781,0.0379056930541992,0.0285751819610595,0.6493895053863525
s1423,575249.0,87747.0,109535.0,55340.0,55340.0,1023312.0,111710.0,56491.0,0.0025322437286376,5.817272424697876,0.0026473999023437,2.9598660469055176,0.0134491920471191,0.0237758159637451,0.0088672637939453,0.1211662292480468
s208,44405.0,6216.0,7114.0,2829.0,2829.0,59651.0,7114.0,2829.0,0.0005524158477783,0.9726040363311768,0.0006051063537597,0.0196800231933593,0.000929832458496,0.0020301342010498,0.0006539821624755,0.0008518695831298
s27,23513.0,2090.0,1905.0,1905.0,1905.0,42648.0,1905.0,1905.0,0.0005397796630859,0.7406406402587891,0.0005679130554199,0.0186467170715332,0.0007238388061523,0.001495361328125,0.0005474090576171,0.0006852149963378
s344,133802.0,13705.0,25073.0,6001.0,6001.0,260663.0,25073.0,6001.0,0.0011217594146728,2.14414644241333,0.0019292831420898,0.1547479629516601,0.0020909309387207,0.0061092376708984,0.0017836093902587,0.0030462741851806
s349,130484.0,15741.0,25486.0,6729.0,6729.0,233877.0,25486.0,6898.0,0.000960350036621,1.9361834526062007,0.0010161399841308,0.1042919158935546,0.0019271373748779,0.0058319568634033,0.0016775131225585,0.0032951831817626
s382,161699.0,19572.0,21105.0,10454.0,10853.0,288967.0,23837.0,11160.0,0.0010068416595458,2.077681303024292,0.0010678768157958,0.1021399497985839,0.0025122165679931,0.0060513019561767,0.0016720294952392,0.0024781227111816
s38417,13239828.0,,1427834.0,347570.0,349003.0,24917908.0,1472098.0,366740.0,0.0630228519439697,,0.1322839260101318,144.60398602485657,3.4833717346191406,0.7232794761657715,5.714791297912598,12.921777486801147
s38584,11300991.0,,1883658.0,557567.0,560350.0,23790496.0,1927870.0,581014.0,0.0563557147979736,,0.1210718154907226,1797.5591509342194,3.015085935592652,0.7472643852233887,4.634243726730347,109.21833419799805
s400,150805.0,30352.0,20878.0,10329.0,10329.0,293153.0,22507.0,10862.0,0.0010097026824951,2.1651370525360107,0.0011012554168701,0.1006567478179931,0.0029451847076416,0.0063803195953369,0.0018041133880615,0.0027170181274414
s420,35951.0,908.0,1352.0,158.0,158.0,94093.0,1352.0,158.0,0.000608205795288,1.0610287189483645,0.0006639957427978,0.0240712165832519,0.0008792877197265,0.0024735927581787,0.0006978511810302,0.0007951259613037
s444,163080.0,22010.0,20972.0,8547.0,8547.0,310972.0,21466.0,8848.0,0.0010530948638916,2.338106155395508,0.001155138015747,0.1098597049713134,0.0027177333831787,0.0074224472045898,0.0020968914031982,0.0030441284179687
s526,182723.0,19268.0,39023.0,16261.0,16261.0,376409.0,39023.0,16261.0,0.0011255741119384,2.313462018966675,0.0012099742889404,0.0830829143524169,0.0033094882965087,0.0077900886535644,0.002399206161499,0.0026688575744628
s526n,168121.0,32329.0,26600.0,14826.0,14826.0,346846.0,26600.0,15088.0,0.0010652542114257,1.9398415088653564,0.0011863708496093,0.0794830322265625,0.0024771690368652,0.0075800418853759,0.0018627643585205,0.0026252269744873
s5378,1662494.0,137367.0,70146.0,8013.0,8771.0,3210382.0,72324.0,8576.0,0.0073390007019042,36.8312611579895,0.00754976272583,11.00362777709961,0.0324928760528564,0.0770630836486816,0.0258576869964599,0.2995693683624267
s641,225586.0,18005.0,12504.0,2403.0,2403.0,403654.0,13526.0,2403.0,0.001291275024414,3.119016408920288,0.0013630390167236,0.3570458889007568,0.0027141571044921,0.0119764804840087,0.0024447441101074,0.0056383609771728
s713,244831.0,23466.0,16656.0,2339.0,2339.0,460905.0,19545.0,2339.0,0.0015041828155517,3.259136199951172,0.0014867782592773,0.4526066780090332,0.0028610229492187,0.0129175186157226,0.0028386116027832,0.0080611705780029
s838,331663.0,35400.0,39152.0,16098.0,16098.0,640725.0,39413.0,17351.0,0.0017683506011962,4.094948768615723,0.001878023147583,0.1424832344055175,0.0054268836975097,0.0173749923706054,0.0041098594665527,0.0036425590515136
s9234,1696289.0,109660.0,184520.0,29295.0,29326.0,3095500.0,188605.0,30146.0,0.0070769786834716,38.47141861915589,0.0075998306274414,8.369171619415283,0.0479695796966552,0.074939489364624,0.0621373653411865,0.8293392658233643
s953,416648.0,42456.0,15931.0,6228.0,6785.0,766369.0,15931.0,7996.0,0.0037188529968261,4.6145970821380615,0.0020735263824462,0.5877416133880615,0.0049536228179931,0.0698719024658203,0.009331464767456,0.0102763175964355
sample,70.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,0.0004768371582031,0.0020356178283691,0.0004217624664306,0.0055956840515136,0.0005872249603271,0.000528335571289,0.0004467964172363,0.0006003379821777
sbc,645874.0,80514.0,20027.0,10094.0,10094.0,1238316.0,20027.0,10436.0,0.0031521320343017,7.304722547531128,0.003127098083496,0.5720493793487549,0.010693073272705,0.030106782913208,0.0049555301666259,0.0096745491027832
small,868.0,0.0,0.0,0.0,0.0,868.0,0.0,0.0,0.0003890991210937,0.0026724338531494,0.0004494190216064,0.0004563331604003,0.0007498264312744,0.0005812644958496,0.0003712177276611,0.0006778240203857
stg,13.0,5.0,6.0,5.0,6.0,10.0,6.0,5.0,0.0004267692565917,0.1574716567993164,0.0004599094390869,0.0274786949157714,0.0009918212890625,0.000840425491333,0.0004575252532958,0.0012261867523193
stg0,-15.0,-19.0,-5.0,-3.0,-3.0,-17.0,,-3.0,0.0006985664367675,0.003385305404663,0.0008149147033691,0.0007941722869873,0.0006670951843261,0.0010781288146972,,0.0006804466247558
trace,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0004312992095947,0.0058875083923339,0.000472068786621,0.0069892406463623,0.0005669593811035,0.0006499290466308,0.0004293918609619,0.0005385875701904
