instance_name,bw_borda_net_score,bw_drmaciver_fas,bw_igraph_approx_eades,bw_ipsns_full,bw_lrta_full,bw_random_multistart,bw_weighted_eades,bw_wmsf_seed,rt_borda_net_score,rt_drmaciver_fas,rt_igraph_approx_eades,rt_ipsns_full,rt_lrta_full,rt_random_multistart,rt_weighted_eades,rt_wmsf_seed
bad,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0003964900970458,0.0020151138305664,0.0004096031188964,0.004063606262207,0.0005221366882324,0.0004780292510986,0.0004198551177978,0.0004403591156005
bad1,5880.0,94.0,186.0,94.0,94.0,3070.0,186.0,94.0,0.000450849533081,0.0096728801727294,0.1651797294616699,0.0101785659790039,0.1789305210113525,0.0007131099700927,0.0004651546478271,0.0007402896881103
bad2,2607.0,180.0,1598.0,180.0,180.0,2923.0,1598.0,180.0,0.0003993511199951,0.005425214767456,0.0004346370697021,0.0095434188842773,0.0005285739898681,0.0006394386291503,0.0004105567932128,0.0005581378936767
bad3,2419.0,1519.0,2419.0,1519.0,1519.0,1519.0,2419.0,1632.0,0.0006484985351562,0.0023045539855957,0.0005326271057128,0.0117154121398925,0.0011131763458251,0.000678539276123,0.0005929470062255,0.0009760856628417
bad4,9822.0,877.0,2521.0,877.0,877.0,4638.0,2521.0,877.0,0.000429630279541,0.0035648345947265,0.0004551410675048,0.0152561664581298,0.0011074542999267,0.0006220340728759,0.0004334449768066,0.0010676383972167
bad5,6714.0,770.0,1699.0,770.0,770.0,5015.0,1699.0,770.0,0.0004386901855468,0.0037341117858886,0.0004551410675048,0.0108373165130615,0.000847578048706,0.000622272491455,0.0004298686981201,0.000864028930664
bad6,2425.0,218.0,1248.0,218.0,218.0,1639.0,1248.0,218.0,0.0007493495941162,0.0063173770904541,0.0010542869567871,0.0137064456939697,0.0007910728454589,0.0012190341949462,0.0007796287536621,0.0009222030639648
bad7,9989.0,1724.0,1874.0,1724.0,1724.0,8860.0,1874.0,1724.0,0.0004382133483886,0.1319189071655273,0.0004639625549316,0.0166008472442626,0.0016646385192871,0.0007963180541992,0.0004510879516601,0.0017952919006347
bigkey,581281.0,349392.0,357434.0,346181.0,346181.0,6874909.0,359747.0,347690.0,0.0134739875793457,51.630582094192505,0.0153806209564208,1.264676570892334,0.1080920696258544,0.1292572021484375,0.0513465404510498,0.0478062629699707
complete2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004150867462158,0.0020251274108886,0.0004258155822753,0.003481388092041,0.0005280971527099,0.0004546642303466,0.0004189014434814,0.000493049621582
complete3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0007176399230957,0.0019257068634033,0.0007979869842529,0.0114359855651855,0.0007939338684082,0.0008409023284912,0.000739574432373,0.0008440017700195
complete4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0004081726074218,0.0018587112426757,0.0003983974456787,0.0117244720458984,0.0007936954498291,0.000514268875122,0.0003924369812011,0.000882863998413
complete5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0004329681396484,0.0018646717071533,0.0004224777221679,0.0181982517242431,0.0008051395416259,0.0005819797515869,0.0003912448883056,0.0009324550628662
complete6,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0004239082336425,0.0018637180328369,0.0004611015319824,0.018801212310791,0.0008425712585449,0.0006141662597656,0.0004255771636962,0.001004934310913
complete7,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0004129409790039,0.0015559196472167,0.0004358291625976,0.0216493606567382,0.0009431838989257,0.0006847381591796,0.000417947769165,0.0007107257843017
complete8,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0004465579986572,0.0019009113311767,0.0004608631134033,0.0274660587310791,0.0005366802215576,0.0007734298706054,0.0004472732543945,0.0007021427154541
complete9,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,0.0008032321929931,0.0025725364685058,0.0005121231079101,0.0429778099060058,0.00057053565979,0.0008437633514404,0.0004825592041015,0.0007519721984863
daio_receiver,913800.0,137731.0,151202.0,63398.0,63509.0,2499602.0,155570.0,68910.0,0.0055303573608398,16.16915011405945,0.0058598518371582,5.332293510437012,0.0385241508483886,0.0525190830230712,0.022388219833374,0.2509126663208008
dene,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0003674030303955,0.0021538734436035,0.0003869533538818,0.0036709308624267,0.000434398651123,0.0004303455352783,0.0004093647003173,0.0004246234893798
dsip,1778742.0,224845.0,161791.0,62462.0,66206.0,4373604.0,163504.0,64675.0,0.0096611976623535,64.06534838676453,0.0103769302368164,8.37907862663269,0.0878989696502685,0.1036350727081298,0.0532147884368896,0.2829992771148681
ecc,733153.0,125050.0,162789.0,96836.0,96836.0,1940539.0,169006.0,98377.0,0.0044984817504882,12.114362716674805,0.0047535896301269,0.8549215793609619,0.0312094688415527,0.0430750846862793,0.0231988430023193,0.0214998722076416
example,49403.0,32703.0,37070.0,32173.0,32173.0,53614.0,36531.0,32703.0,0.0004830360412597,0.125493049621582,0.0004580020904541,0.0171630382537841,0.0009868144989013,0.0008182525634765,0.0004665851593017,0.001288890838623
example-bad1,7202.0,4494.0,4494.0,4494.0,4494.0,4494.0,4494.0,4494.0,0.0005037784576416,0.0019958019256591,0.0004303455352783,0.0124032497406005,0.0009596347808837,0.0005719661712646,0.0004856586456298,0.0012071132659912
example-bad2,16331.0,15205.0,15205.0,15205.0,15205.0,15205.0,15205.0,15205.0,0.0003998279571533,0.0018198490142822,0.0004055500030517,0.0128085613250732,0.0009791851043701,0.000483751296997,0.0003881454467773,0.0012319087982177
example-bad3,3883.0,1165.0,1165.0,1165.0,1165.0,1165.0,1165.0,1165.0,0.0004401206970214,0.0018596649169921,0.0004093647003173,0.0107433795928955,0.0007987022399902,0.000521183013916,0.0004298686981201,0.000885009765625
example-rev,203.0,118.0,177.0,118.0,118.0,191.0,141.0,118.0,0.0004258155822753,0.1277577877044677,0.0004677772521972,0.0099344253540039,0.0006422996520996,0.0008223056793212,0.0004489421844482,0.0006248950958251
example_new,32504.0,18638.0,24000.0,18638.0,18638.0,36817.0,24000.0,19736.0,0.0004162788391113,0.1225273609161377,0.0004901885986328,0.0094752311706542,0.0006184577941894,0.0007705688476562,0.0004677772521972,0.0006184577941894
gerez,-104.0,-104.0,-96.0,-92.0,-92.0,-104.0,,-92.0,0.0003976821899414,0.001622200012207,0.0004687309265136,0.0005383491516113,0.0004844665527343,0.0005059242248535,,0.0005006790161132
good,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0003783702850341,0.0018658638000488,0.0004258155822753,0.0041797161102294,0.0004153251647949,0.0004811286926269,0.0004177093505859,0.0004024505615234
gr-paper,14.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,0.0004158020019531,0.0028982162475585,0.00042724609375,0.0072712898254394,0.0007994174957275,0.0005774497985839,0.0003998279571533,0.000868797302246
gr0,6410.0,6410.0,6410.0,6410.0,6410.0,6410.0,6410.0,6410.0,0.0007026195526123,0.0021138191223144,0.0007634162902832,0.0007739067077636,0.0007960796356201,0.000772476196289,0.0007035732269287,0.0007369518280029
gr00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.000133991241455,,0.0001444816589355,0.0001804828643798,0.0004327297210693,0.0001702308654785,0.0001251697540283,0.0002167224884033
gr1,32121.0,15969.0,16767.0,15969.0,15969.0,24070.0,16767.0,16491.0,0.0004215240478515,0.0023994445800781,0.0004379749298095,0.0224463939666748,0.0021672248840332,0.0006330013275146,0.0004067420959472,0.0022265911102294
