instance,n,m,density,solver,mode,time_limit_seconds,status,status_message,mip_objective,mip_bw_incumbent,mip_dual_bound_bw,mip_gap_pct,proven_optimal,runtime_seconds,lrta_bw,ipsns_bw,wmsf_bw,drmaciver_bw,ipsns_gap_to_incumbent_pct,ipsns_gap_to_bound_pct,error
stg,20,30,0.157895,scipy.optimize.milp (HiGHS),MIP,120.0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),5.0,5.0,5.0,,True,0.017,6.0,5.0,,5.0,,,
r20_60,20,60,0.315789,scipy.optimize.milp (HiGHS),MIP,120.0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),1685.0,1685.0,1685.0,,True,0.016,1688.0,1688.0,,1685.0,0.178,0.178,
gr10,47,83,0.076781,scipy.optimize.milp (HiGHS),MIP,120.0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),58481.0,58481.0,58481.0,,True,0.194,62435.0,58481.0,,59093.0,,,
s27,54,87,0.060797,scipy.optimize.milp (HiGHS),MIP,120.0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),1905.0,1905.0,1905.0,,True,0.303,1905.0,1905.0,,2131.0,,,
s208,83,119,0.034969,scipy.optimize.milp (HiGHS),MIP,120.0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),2829.0,2829.0,2829.0,,True,1.185,2829.0,2829.0,,5474.0,,,
s420,101,178,0.035248,scipy.optimize.milp (HiGHS),MIP,120.0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),158.0,158.0,158.0,,True,2.188,158.0,158.0,,1241.0,,,
mm4a,170,454,0.031605,scipy.optimize.milp (HiGHS),MIP,120.0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),4053.0,4053.0,4053.0,,True,36.946,4053.0,4053.0,,9374.0,,,
s382,273,438,0.011797,scipy.optimize.milp (HiGHS),LP_relaxation,120.0,time_limit,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),,,,,False,122.61,10853.0,10454.0,,25030.0,,,
s344,274,388,0.010374,scipy.optimize.milp (HiGHS),LP_relaxation,120.0,time_limit,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),,,,,False,122.624,6001.0,6001.0,,10488.0,,,
s349,278,395,0.010259,scipy.optimize.milp (HiGHS),LP_relaxation,120.0,time_limit,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),,,,,False,122.631,6729.0,6729.0,,12403.0,,,
s400,287,462,0.011257,scipy.optimize.milp (HiGHS),LP_relaxation,120.0,time_limit,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),,,,,False,123.047,10329.0,10329.0,,23174.0,,,
s526n,292,560,0.013181,scipy.optimize.milp (HiGHS),LP_relaxation,120.0,time_limit,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),,,,,False,123.178,14826.0,14826.0,,28837.0,,,
mult16a,293,582,0.013605,scipy.optimize.milp (HiGHS),LP_relaxation,120.0,time_limit,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),,,,,False,123.075,14348.0,14348.0,,27855.0,,,
s444,315,503,0.010171,scipy.optimize.milp (HiGHS),LP_relaxation,120.0,time_limit,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),,,,,False,123.854,8547.0,8547.0,,20097.0,,,
s526,318,576,0.011428,scipy.optimize.milp (HiGHS),LP_relaxation,120.0,time_limit,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),,,,,False,124.077,16261.0,16261.0,,27533.0,,,
