instance_id,ipsns_median_bw,dr_median_bw,ipsns_mean_bw,dr_mean_bw,ipsns_min_bw,ipsns_max_bw,dr_min_bw,dr_max_bw,ipsns_n,dr_n,diff_ipsns_minus_dr,rel_diff_pct,rel_excess_dr_over_ipsns_pct,winner_median
bad,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,20,0.0,0.0,0.0,tie
bad1,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,20,20,0.0,0.0,0.0,tie
bad2,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,20,20,0.0,0.0,0.0,tie
bad3,1519.0,1519.0,1519.0,1519.0,1519.0,1519.0,1519.0,1519.0,20,20,0.0,0.0,0.0,tie
bad4,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,20,20,0.0,0.0,0.0,tie
bad5,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,20,20,0.0,0.0,0.0,tie
bad6,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,20,20,0.0,0.0,0.0,tie
bad7,1724.0,1757.0,1724.0,2056.8,1724.0,1724.0,1724.0,3713.0,20,20,-33.0,-1.8782014797951052,1.8782014797951052,IPSNS
bigkey,346181.0,350875.5,346181.0,351279.1,346181.0,346181.0,347696.0,358536.0,20,20,-4694.5,-1.3379389555554606,1.3379389555554606,IPSNS
complete2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,20,0.0,0.0,0.0,tie
complete3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20,20,0.0,0.0,0.0,tie
complete4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,20,20,0.0,0.0,0.0,tie
complete5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20,20,0.0,0.0,0.0,tie
complete6,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20,20,0.0,0.0,0.0,tie
complete7,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20,20,0.0,0.0,0.0,tie
complete8,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,20,20,0.0,0.0,0.0,tie
complete9,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,20,20,0.0,0.0,0.0,tie
daio_receiver,63398.0,129765.5,63398.0,129098.75,63398.0,63398.0,109241.0,145403.0,20,20,-66367.5,-51.144179308059535,51.144179308059535,IPSNS
dene,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,20,20,0.0,0.0,0.0,tie
dsip,62462.0,219841.0,62462.0,223973.8,62462.0,62462.0,193196.0,266414.0,20,20,-157379.0,-71.58764743610155,71.58764743610155,IPSNS
ecc,96836.0,139582.5,96836.0,141665.8,96836.0,96836.0,129791.0,157630.0,20,20,-42746.5,-30.624541042036075,30.624541042036075,IPSNS
example,32173.0,32173.0,32173.0,32358.5,32173.0,32173.0,32173.0,32703.0,20,20,0.0,0.0,0.0,tie
example-bad1,4494.0,4494.0,4494.0,4494.0,4494.0,4494.0,4494.0,4494.0,20,20,0.0,0.0,0.0,tie
example-bad2,15205.0,15205.0,15205.0,15205.0,15205.0,15205.0,15205.0,15205.0,20,20,0.0,0.0,0.0,tie
example-bad3,1165.0,1165.0,1165.0,1165.0,1165.0,1165.0,1165.0,1165.0,20,20,0.0,0.0,0.0,tie
example-rev,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,20,20,0.0,0.0,0.0,tie
example.new,18638.0,18638.0,18638.0,18912.5,18638.0,18638.0,18638.0,19736.0,20,20,0.0,0.0,0.0,tie
good,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,20,0.0,0.0,0.0,tie
gr-paper,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,20,20,0.0,0.0,0.0,tie
