instance_id,ipsns_median_bw,dr_median_bw,ipsns_mean_bw,dr_mean_bw,ipsns_min_bw,ipsns_max_bw,dr_min_bw,dr_max_bw,ipsns_n,dr_n,diff_ipsns_minus_dr,rel_diff_pct,rel_excess_dr_over_ipsns_pct,winner_median
gr0,6410.0,6410.0,6410.0,6410.0,6410.0,6410.0,6410.0,6410.0,20,20,0.0,0.0,0.0,tie
gr1,15969.0,15969.0,15969.0,15969.0,15969.0,15969.0,15969.0,15969.0,20,20,0.0,0.0,0.0,tie
gr1-acyclic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,20,0.0,0.0,0.0,tie
gr10,58481.0,59582.0,58481.0,59796.65,58481.0,58481.0,58481.0,65411.0,20,20,-1101.0,-1.8478735188479742,1.8478735188479742,IPSNS
gr11,12414.0,12414.0,12414.0,12414.0,12414.0,12414.0,12414.0,12414.0,20,20,0.0,0.0,0.0,tie
gr11d,12414.0,12414.0,12414.0,12414.0,12414.0,12414.0,12414.0,12414.0,20,20,0.0,0.0,0.0,tie
gr12,2133.0,2133.0,2133.0,2133.0,2133.0,2133.0,2133.0,2133.0,20,20,0.0,0.0,0.0,tie
gr13,3987.0,3987.0,3987.0,3987.0,3987.0,3987.0,3987.0,3987.0,20,20,0.0,0.0,0.0,tie
gr14,14651.0,14651.0,14651.0,14651.0,14651.0,14651.0,14651.0,14651.0,20,20,0.0,0.0,0.0,tie
gr2,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,20,20,0.0,0.0,0.0,tie
gr3,2252.0,2252.0,2252.0,2252.0,2252.0,2252.0,2252.0,2252.0,20,20,0.0,0.0,0.0,tie
gr4,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,20,20,0.0,0.0,0.0,tie
gr4-shift,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,20,20,0.0,0.0,0.0,tie
gr4-shift2,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,20,20,0.0,0.0,0.0,tie
gr5,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,20,20,0.0,0.0,0.0,tie
gr6,14097.0,14097.0,14097.0,14097.0,14097.0,14097.0,14097.0,14097.0,20,20,0.0,0.0,0.0,tie
gr8,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,20,20,0.0,0.0,0.0,tie
gr9,6120.0,6120.0,6120.0,6120.0,6120.0,6120.0,6120.0,6120.0,20,20,0.0,0.0,0.0,tie
green,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,20,20,0.0,0.0,0.0,tie
green3,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20,20,0.0,0.0,0.0,tie
green3nonzero,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,20,20,0.0,0.0,0.0,tie
green4,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,20,20,0.0,0.0,0.0,tie
grid,32954.0,42067.5,32954.0,56191.55,32954.0,32954.0,32947.0,120594.0,20,20,-9113.5,-21.66399239317763,21.66399239317763,IPSNS
howard-min,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20,20,0.0,0.0,0.0,tie
mm30a,16351.0,132982.5,16351.0,130833.6,16351.0,16351.0,92947.0,154127.0,20,20,-116631.5,-87.70439719511965,87.70439719511965,IPSNS
mm4a,4053.0,12045.0,4053.0,12871.7,4053.0,4053.0,9457.0,18370.0,20,20,-7992.0,-66.35118306351183,66.35118306351183,IPSNS
mm9a,9542.0,50916.5,9542.0,50062.55,9542.0,9542.0,37812.0,67615.0,20,20,-41374.5,-81.25951312442922,81.25951312442922,IPSNS
mm9b,8278.0,58678.5,8278.0,61069.0,8278.0,8278.0,42936.0,86141.0,20,20,-50400.5,-85.89261825029611,85.89261825029611,IPSNS
mult16a,14348.0,29636.0,14348.0,31409.05,14348.0,14348.0,21449.0,54988.0,20,20,-15288.0,-51.58590902955864,51.58590902955864,IPSNS
mult16b,16618.0,30033.5,16618.0,31194.0,16618.0,16618.0,20432.0,46245.0,20,20,-13415.5,-44.66845356019112,44.66845356019112,IPSNS
mult32a,40635.0,70327.0,40635.0,69112.15,40635.0,40635.0,55346.0,84245.0,20,20,-29692.0,-42.21991553741806,42.21991553741806,IPSNS
parker1986,122961.0,257133.0,122961.0,261690.3,122961.0,122961.0,237363.0,305423.0,20,20,-134172.0,-52.180000233342284,52.180000233342284,IPSNS
phase_decoder,46676.0,94548.5,46676.0,96897.7,46676.0,46676.0,72933.0,120601.0,20,20,-47872.5,-50.6327440414179,50.6327440414179,IPSNS
present,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,20,20,0.0,0.0,0.0,tie
r1000,4055.0,5323.0,4055.0,5323.1,4055.0,4055.0,4965.0,5581.0,20,20,-1268.0,-23.82115348487695,23.82115348487695,IPSNS
r20_60,1688.0,1698.0,1688.0,1718.25,1688.0,1688.0,1685.0,1922.0,20,20,-10.0,-0.5889281507656066,0.5889281507656066,IPSNS
rd_1024_2048_1,285351.0,703300.0,285351.0,708105.2,285351.0,285351.0,652683.0,779775.0,20,20,-417949.0,-59.42684487416465,59.42684487416465,IPSNS
rd_10_30_1997,38091.0,38091.0,38091.0,38091.0,38091.0,38091.0,38091.0,38091.0,20,20,0.0,0.0,0.0,tie
rd_4_4_90,807.0,807.0,807.0,807.0,807.0,807.0,807.0,807.0,20,20,0.0,0.0,0.0,tie
rd_4_8_90,7842.0,7842.0,7842.0,7842.0,7842.0,7842.0,7842.0,7842.0,20,20,0.0,0.0,0.0,tie
rd_5_10_90,6343.0,6343.0,6343.0,6343.0,6343.0,6343.0,6343.0,6343.0,20,20,0.0,0.0,0.0,tie
rd_big,1061050.0,1615965.5,1061050.0,1605562.65,1061050.0,1061050.0,1478792.0,1706189.0,20,20,-554915.5,-34.339563561227024,34.339563561227024,IPSNS
s1423,55340.0,99637.0,55340.0,100085.75,55340.0,55340.0,86543.0,121581.0,20,20,-44297.0,-44.45838393367926,44.45838393367926,IPSNS
s208,2829.0,5801.0,2829.0,5530.2,2829.0,2829.0,2829.0,6710.0,20,20,-2972.0,-51.232546112739186,51.232546112739186,IPSNS
s27,1905.0,2724.5,1905.0,3550.4,1905.0,1905.0,1905.0,7022.0,20,20,-819.5,-30.07891356212149,30.07891356212149,IPSNS
s344,6001.0,17109.0,6001.0,17906.2,6001.0,6001.0,12349.0,31029.0,20,20,-11108.0,-64.92489333099539,64.92489333099539,IPSNS
s349,6729.0,17352.0,6729.0,17527.75,6729.0,6729.0,12711.0,27322.0,20,20,-10623.0,-61.22060857538037,61.22060857538037,IPSNS
s382,10454.0,22957.0,10454.0,23706.55,10454.0,10454.0,16659.0,32387.0,20,20,-12503.0,-54.46269111817747,54.46269111817747,IPSNS
s400,10329.0,21060.0,10329.0,21908.05,10329.0,10329.0,17537.0,28918.0,20,20,-10731.0,-50.95441595441596,50.95441595441596,IPSNS
s420,158.0,580.0,158.0,822.75,158.0,158.0,158.0,1663.0,20,20,-422.0,-72.75862068965517,72.75862068965517,IPSNS
s444,8547.0,22749.0,8547.0,22599.4,8547.0,8547.0,14495.0,30571.0,20,20,-14202.0,-62.429117763418176,62.429117763418176,IPSNS
s526,16261.0,25801.0,16261.0,26070.2,16261.0,16261.0,19352.0,34708.0,20,20,-9540.0,-36.97531103445603,36.97531103445603,IPSNS
s526n,14826.0,26585.0,14826.0,27167.5,14826.0,14826.0,20477.0,32648.0,20,20,-11759.0,-44.23170961068272,44.23170961068272,IPSNS
s5378,8013.0,143749.5,8013.0,138706.4,8013.0,8013.0,117726.0,159667.0,20,20,-135736.5,-94.42571974163388,94.42571974163388,IPSNS
s641,2403.0,19156.5,2403.0,19566.75,2403.0,2403.0,14519.0,27435.0,20,20,-16753.5,-87.45595489781536,87.45595489781536,IPSNS
s713,2339.0,21251.5,2339.0,21369.05,2339.0,2339.0,14769.0,30344.0,20,20,-18912.5,-88.99371809048773,88.99371809048773,IPSNS
s838,16098.0,35923.0,16098.0,36490.95,16098.0,16098.0,31924.0,47753.0,20,20,-19825.0,-55.18748434150823,55.18748434150823,IPSNS
s9234,29295.0,127852.5,29295.0,127999.2,29295.0,29295.0,104657.0,148109.0,20,20,-98557.5,-77.08687745644394,77.08687745644394,IPSNS
s953,6228.0,43522.0,6228.0,44539.2,6228.0,6228.0,32455.0,58551.0,20,20,-37294.0,-85.68999586416065,85.68999586416065,IPSNS
sample,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,20,20,0.0,0.0,0.0,tie
sbc,10094.0,70304.0,10094.0,70466.05,10094.0,10094.0,46703.0,81662.0,20,20,-60210.0,-85.64235320892125,85.64235320892125,IPSNS
small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,20,0.0,0.0,0.0,tie
stg,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,20,20,0.0,0.0,0.0,tie
trace,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,20,20,0.0,0.0,0.0,tie
