instance_id,n_success,n_failed,n_total_attempts,bw_min,bw_q1,bw_median,bw_mean,bw_q3,bw_max,bw_std,bw_iqr,bw_cv,n_distinct_bw,rt_min,rt_median,rt_mean,rt_max,n_distinct_pids,n,m,density
bad,20,0,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.0012299099980737,0.0044471519977378,0.0040103143999658,0.005319979001797,20,4,4,0.3333333333333333
bad1,20,0,20,94.0,94.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,1,0.0133378809987334,0.0179358334989956,0.0177238828497138,0.0271794209984364,20,13,14,0.0897435897435897
bad2,20,0,20,180.0,180.0,180.0,180.0,180.0,180.0,0.0,0.0,0.0,1,0.0051133170018147,0.0084763984996243,0.0083584462496219,0.0116187680032453,20,11,12,0.109090909090909
bad3,20,0,20,1519.0,1519.0,1519.0,1519.0,1519.0,1519.0,0.0,0.0,0.0,1,0.0011722439994628,0.0041651410010672,0.0037384203997135,0.0048153160023503,20,4,5,0.4166666666666667
bad4,20,0,20,877.0,877.0,877.0,877.0,877.0,877.0,0.0,0.0,0.0,1,0.0030395989997487,0.0073617119996924,0.0070910772001298,0.0105096679981215,20,10,11,0.1222222222222222
bad5,20,0,20,770.0,770.0,770.0,770.0,770.0,770.0,0.0,0.0,0.0,1,0.0024730270015425,0.0074908020014845,0.0074791467503018,0.011092936998466,20,10,11,0.1222222222222222
bad6,20,0,20,218.0,218.0,218.0,218.0,218.0,218.0,0.0,0.0,0.0,1,0.002029996998317,0.0068474814997898,0.00558994885032,0.0078498910006601,20,9,10,0.1388888888888889
bad7,20,0,20,1724.0,1724.0,1757.0,2056.8,1884.5,3713.0,589.3765858939427,160.5,0.2865502654093458,8,0.1251179630016849,0.1494478939985128,0.1462843170507767,0.1612832260034338,20,19,21,0.0614035087719298
bigkey,20,0,20,347696.0,349032.25,350875.5,351279.1,351687.0,358536.0,2763.75628267038,2654.75,0.007867693474136,20,47.015768215002026,48.90741928749958,50.17623698084972,67.77714262899826,20,3661,12206,0.0009109458283517
complete2,20,0,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.0012470480032789,0.0044611230005102,0.0042649170507502,0.0050909410019812,20,2,2,1.0
