instance,n,m,total_weight,exact_bw,lrta_bw,wmsf_bw,ipsns_bw,lrta_gap_abs,wmsf_gap_abs,ipsns_gap_abs,lrta_gap_rel,wmsf_gap_rel,ipsns_gap_rel,lrta_is_optimal,wmsf_is_optimal,ipsns_is_optimal,exact_time,lrta_time,wmsf_time,ipsns_time,exact_status,lrta_status,wmsf_status,ipsns_status
green4,4,16,93.0,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000413,0.000416,0.000527,0.009984,ok,ok,ok,ok
example-bad1,5,6,25016.0,4494.0,4494.0,4494.0,4494.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000416,0.000404,0.000462,0.005779,ok,ok,ok,ok
example-bad3,5,6,9712.0,1165.0,1165.0,1165.0,1165.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000406,0.000425,0.000464,0.005787,ok,ok,ok,ok
gr12,5,6,23296.0,2133.0,2133.0,2133.0,2133.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000584,0.000491,0.000479,0.005511,ok,ok,ok,ok
rd_5_10_90,5,7,47421.0,6343.0,6343.0,6343.0,6343.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000412,0.000387,0.000455,0.006034,ok,ok,ok,ok
complete5,5,20,20.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000404,0.00041,0.000541,0.012893,ok,ok,ok,ok
k3_3,6,9,12114.0,-2221.0,-1234.0,-1234.0,-1234.0,987.0,987.0,987.0,0.08147598,0.08147598,0.08147598,False,False,False,0.00043,0.000408,0.000465,0.000508,ok,ok,ok,ok
ku,6,9,6.0,-6.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000404,0.000396,0.000411,0.000464,ok,ok,ok,ok
complete6,6,30,30.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000422,0.000435,0.000554,0.016095,ok,ok,ok,ok
small,7,8,13555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000491,0.00038,0.000369,0.000409,ok,ok,ok,ok
