instance,variant,status,backward_weight,runtime_sec,error
bad1,lrta_full,ok,94.0,0.1786,
bad1,wmsf_seed,ok,94.0,0.0008,
bad1,best_seed_no_lns,ok,94.0,0.0011,
bad1,ipsns_50iters,ok,94.0,0.002,
bad1,ipsns_100iters,ok,94.0,0.0029,
bad1,ipsns_full,ok,94.0,0.0099,
bad1,lr_no_addback,ok,94.0,0.0004,
bad1,ipsns_no_scc_priority,ok,94.0,0.0091,
bad2,lrta_full,ok,180.0,0.0004,
bad2,wmsf_seed,ok,180.0,0.0005,
bad2,best_seed_no_lns,ok,180.0,0.001,
bad2,ipsns_50iters,ok,180.0,0.0016,
bad2,ipsns_100iters,ok,180.0,0.0027,
bad2,ipsns_full,ok,180.0,0.009,
bad2,lr_no_addback,ok,180.0,0.0004,
bad2,ipsns_no_scc_priority,ok,180.0,0.0086,
bad3,lrta_full,ok,1519.0,0.0004,
bad3,wmsf_seed,ok,1632.0,0.0005,
bad3,best_seed_no_lns,ok,1519.0,0.0009,
bad3,ipsns_50iters,ok,1519.0,0.0011,
bad3,ipsns_100iters,ok,1519.0,0.0016,
bad3,ipsns_full,ok,1519.0,0.005,
bad3,lr_no_addback,ok,1519.0,0.0004,
bad3,ipsns_no_scc_priority,ok,1519.0,0.0044,
bad4,lrta_full,ok,877.0,0.0004,
bad4,wmsf_seed,ok,877.0,0.0005,
bad4,best_seed_no_lns,ok,877.0,0.001,
bad4,ipsns_50iters,ok,877.0,0.0016,
bad4,ipsns_100iters,ok,877.0,0.0026,
bad4,ipsns_full,ok,877.0,0.0082,
bad4,lr_no_addback,ok,877.0,0.0004,
bad4,ipsns_no_scc_priority,ok,877.0,0.008,
bad5,lrta_full,ok,770.0,0.0004,
bad5,wmsf_seed,ok,770.0,0.0005,
bad5,best_seed_no_lns,ok,770.0,0.001,
bad5,ipsns_50iters,ok,770.0,0.0016,
bad5,ipsns_100iters,ok,770.0,0.0025,
bad5,ipsns_full,ok,770.0,0.0083,
bad5,lr_no_addback,ok,1173.0,0.0004,
bad5,ipsns_no_scc_priority,ok,770.0,0.0079,
bad6,lrta_full,ok,218.0,0.0004,
bad6,wmsf_seed,ok,218.0,0.0005,
bad6,best_seed_no_lns,ok,218.0,0.0009,
bad6,ipsns_50iters,ok,218.0,0.0015,
bad6,ipsns_100iters,ok,218.0,0.0025,
bad6,ipsns_full,ok,218.0,0.008,
bad6,lr_no_addback,ok,218.0,0.0004,
bad6,ipsns_no_scc_priority,ok,218.0,0.0077,
bad7,lrta_full,ok,1724.0,0.0005,
bad7,wmsf_seed,ok,1724.0,0.0006,
bad7,best_seed_no_lns,ok,1724.0,0.0011,
bad7,ipsns_50iters,ok,1724.0,0.0023,
bad7,ipsns_100iters,ok,1724.0,0.0038,
bad7,ipsns_full,ok,1724.0,0.0132,
bad7,lr_no_addback,ok,1724.0,0.0005,
bad7,ipsns_no_scc_priority,ok,1724.0,0.0126,
bad,lrta_full,ok,1.0,0.0004,
bad,wmsf_seed,ok,1.0,0.0004,
bad,best_seed_no_lns,ok,1.0,0.0008,
bad,ipsns_50iters,ok,1.0,0.0009,
bad,ipsns_100iters,ok,1.0,0.0013,
bad,ipsns_full,ok,1.0,0.0036,
bad,lr_no_addback,ok,1.0,0.0004,
bad,ipsns_no_scc_priority,ok,1.0,0.0034,
grid,lrta_full,ok,32957.0,0.1327,
grid,wmsf_seed,ok,33294.0,0.0107,
grid,best_seed_no_lns,ok,32957.0,0.145,
grid,ipsns_50iters,ok,32954.0,0.1796,
grid,ipsns_100iters,ok,32954.0,0.2204,
grid,ipsns_full,ok,32954.0,0.4403,
grid,lr_no_addback,ok,32981.0,0.1318,
grid,ipsns_no_scc_priority,ok,32953.0,0.4453,
r1000,lrta_full,ok,4375.0,0.1523,
r1000,wmsf_seed,ok,4535.0,0.3894,
r1000,best_seed_no_lns,ok,4375.0,0.5382,
r1000,ipsns_50iters,ok,4055.0,7.5881,
r1000,ipsns_100iters,ok,4055.0,14.7613,
r1000,ipsns_full,ok,4055.0,56.8302,
r1000,lr_no_addback,ok,6484.0,0.0308,
r1000,ipsns_no_scc_priority,ok,4055.0,56.7674,
